Force (g),Time (s)
-0.0220,6.20
-0.0284,6.40
-0.0290,6.60
-0.0278,6.80
-0.0283,7.01
-0.0329,7.21
-0.0328,7.41
-0.0356,7.61
-0.0345,7.81
-0.0390,8.01
-0.0393,8.21
-0.0357,8.41
-0.0381,8.61
-0.0394,8.81
-0.0398,9.02
-0.0394,9.22
-0.0383,9.42
-0.0428,9.62
-0.0410,9.82
-0.0458,10.02
-0.0430,10.22
0.8292,10.42
2.6588,10.62
4.7341,10.82
7.0896,11.03
11.2925,11.23
14.0827,11.43
16.8724,11.63
19.5517,11.83
23.1194,12.03
25.0976,12.23
26.6514,12.43
27.9974,12.64
29.8210,12.84
31.1259,13.04
32.4992,13.24
33.8262,13.44
35.9484,13.64
37.4213,13.84
38.7910,14.04
40.1963,14.24
41.9547,14.44
43.1991,14.65
44.5738,14.85
45.5074,15.05
46.5189,15.25
47.3659,15.45
48.1462,15.65
48.9927,15.85
50.4826,16.05
51.5710,16.26
52.8196,16.46
54.0205,16.66
55.5469,16.86
56.0293,17.06
56.1405,17.26
56.3474,17.46
56.8403,17.66
57.0920,17.86
57.4162,18.07
58.0205,18.27
59.0404,18.47
59.2958,18.67
59.0174,18.87
58.4680,19.07
57.9344,19.27
57.8160,19.47
57.9170,19.67
58.3442,19.88
58.6560,20.08
58.4850,20.28
57.9649,20.48
57.6631,20.68
56.8090,20.88
53.2698,21.08
49.7031,21.28
46.6808,21.48
42.6105,21.69
40.1174,21.89
37.7210,22.09
35.6009,22.29
32.4796,22.49
30.3945,22.69
28.2093,22.89
26.1230,23.09
23.0160,23.30
21.0053,23.50
19.0748,23.70
17.2725,23.90
14.6687,24.10
13.0761,24.30
11.4850,24.50
10.0664,24.70
7.9301,24.90
6.5541,25.11
5.2479,25.31
4.0647,25.51
2.5184,25.71
1.5675,25.91
0.8338,26.11
0.1701,26.31
-0.6604,26.51
-1.1001,26.71
-1.4643,26.92
-1.7461,27.12
-2.0598,27.32
-2.2317,27.52
-2.3508,27.72
-2.4317,27.92
-2.5852,28.12
-2.7325,28.32
-2.8233,28.52
-2.9468,28.73
-3.0811,28.93
-3.1544,29.13
-3.2315,29.33
-3.3195,29.53
-3.3975,29.73
-3.4602,29.93
-3.5179,30.13
-3.5863,30.34
-3.6686,30.54
-3.7218,30.74
-3.7565,30.94
-3.7999,31.14
-3.8300,31.34
-3.8453,31.54
-3.8788,31.74
-3.8928,31.94
-3.9182,32.15
-3.9310,32.35
-3.9444,32.55
-3.9662,32.75
-3.9842,32.95
-3.9937,33.15
-4.0026,33.35
-3.9987,33.55
-3.9969,33.76
-4.0234,33.96
-4.0364,34.16
-4.0478,34.36
-4.0554,34.56
-4.0666,34.76
-4.0777,34.96
-4.0813,35.16
-4.0932,35.36
-4.1035,35.56
