Time (s),Force (g),Ambient temperature (c)
6.20,0.0166,18.0000
6.40,0.0151,17.9844
6.60,0.0161,17.9766
6.80,0.0224,17.9609
7.00,0.0201,18.0234
7.20,0.0198,18.0000
7.40,0.0183,17.9609
7.60,0.0216,17.9766
7.80,0.0207,17.9609
8.00,0.0219,18.0000
8.21,0.0225,17.9609
8.41,0.0207,17.9609
8.61,0.0250,17.9531
8.81,0.0241,18.0000
9.01,0.0244,17.9375
9.21,0.0270,18.0000
9.41,0.0268,17.9609
9.61,0.0268,18.0000
9.81,0.0320,18.0000
10.02,0.0274,17.9844
10.22,0.0274,18.0000
10.42,0.0422,18.0234
10.62,0.8665,18.0000
10.82,2.7521,17.9609
11.02,3.9001,17.9531
11.22,5.1230,18.0391
11.42,5.7516,17.9531
11.62,6.2773,17.9609
11.82,6.7461,17.9297
12.03,7.3452,17.9609
12.23,7.6955,17.9297
12.43,8.0239,17.9766
12.63,8.3221,18.0000
12.83,8.7147,18.0625
13.03,8.9401,18.0625
13.23,9.1692,17.9297
13.43,9.4532,17.9531
13.64,9.6460,18.0000
13.84,9.8367,17.8672
14.04,10.0172,18.0000
14.24,10.2635,17.9844
14.44,10.4169,18.0000
14.64,10.5602,17.9297
14.84,10.6916,18.0078
15.04,10.8704,17.9609
15.24,10.9766,17.9297
15.45,11.0762,17.9375
15.65,11.2104,18.0000
15.85,11.2898,18.0000
16.05,11.3574,17.9531
16.25,11.4201,18.0000
16.45,11.5041,18.0000
16.65,11.5521,18.0000
16.85,11.5850,17.9531
17.05,11.6174,17.9609
17.26,11.6579,18.0000
17.46,11.6668,17.9375
17.66,11.6809,17.9844
17.86,11.6821,18.0000
18.06,11.6790,17.9531
18.26,11.6717,17.9375
18.46,11.6645,17.9375
18.66,11.6429,18.0000
18.86,11.6296,18.0391
19.07,11.6098,17.9766
19.27,11.5918,17.9297
19.47,11.5718,17.9531
19.67,11.5539,18.0234
19.87,11.5424,17.9609
20.07,11.5262,17.9609
20.27,11.5152,18.0391
20.47,11.4105,17.8906
20.67,9.3210,17.9766
20.88,7.8154,17.9609
21.08,6.3779,18.0703
21.28,5.6514,17.9609
21.48,5.0520,17.9766
21.68,4.3176,17.9844
21.88,3.9043,18.0078
22.08,3.5484,18.0000
22.28,3.2315,17.9609
22.49,2.8215,17.9766
22.69,2.5814,18.0000
22.89,2.3685,18.0078
23.09,2.1735,18.0078
23.29,1.9236,17.9141
23.49,1.7810,17.9531
23.69,1.6615,18.0000
23.89,1.5445,17.9766
24.09,1.3786,18.0000
24.30,1.2777,17.9766
24.50,1.1823,18.0000
24.70,1.0569,18.0000
24.90,0.9816,18.0078
25.10,0.9059,17.9844
25.30,0.8408,18.0078
25.50,0.7484,17.9297
25.70,0.6926,18.0391
25.90,0.6422,17.9766
26.11,0.5930,17.9375
26.31,0.5278,17.9375
26.51,0.4867,17.9766
26.71,0.4484,18.0391
26.91,0.4484,18.0000
27.11,0.3603,17.9531
27.31,0.3358,18.0000
27.51,0.3068,17.9141
27.71,0.2640,17.9766
27.92,0.2379,17.9844
28.12,0.2163,18.0078
28.32,0.1939,17.9531
28.52,0.1655,18.0000
28.72,0.1478,18.0000
28.92,0.1276,18.0234
29.12,0.1131,17.9766
29.32,0.0891,18.0859
29.53,0.0740,17.9609
29.73,0.0593,18.0000
29.93,0.0393,17.9766
30.13,0.0247,18.0000
30.33,0.0148,17.9844
30.53,0.0042,17.9531
30.73,-0.0111,17.9609
30.93,-0.0183,17.9609
31.13,-0.0270,17.9375
31.34,-0.0398,18.0234
31.54,-0.0477,18.0000
31.74,-0.0561,18.0078
31.94,-0.0640,17.9766
32.14,-0.0693,17.9766
32.34,-0.0814,18.0391
32.54,-0.0829,18.0469
32.74,-0.0875,17.9844
32.95,-0.0972,17.9609
33.15,-0.1020,17.9844
33.35,-0.1067,18.0391
33.55,-0.1132,17.9766
33.75,-0.1188,17.8906
