Force (g),Time (s)
-0.0386,6.20
-0.0374,6.40
-0.0432,6.60
-0.0395,6.80
-0.0365,7.01
-0.0364,7.21
-0.0416,7.41
-0.0378,7.61
-0.0419,7.81
-0.0463,8.01
-0.0403,8.21
-0.0405,8.41
-0.0438,8.61
-0.0537,8.81
-0.0558,9.02
-0.0510,9.22
-0.0562,9.42
-0.0545,9.62
-0.0538,9.82
-0.0550,10.02
-0.0576,10.22
-0.0595,10.42
-0.0590,10.62
0.4449,10.82
2.0258,11.03
4.6773,11.23
6.4343,11.43
8.0803,11.63
9.6592,11.83
11.7432,12.03
12.9790,12.23
14.0557,12.43
15.0424,12.64
16.3223,12.84
17.1469,13.04
18.1165,13.24
19.0140,13.44
20.2042,13.64
21.0941,13.84
22.0238,14.04
22.8428,14.24
23.8291,14.44
24.4590,14.65
25.0348,14.85
25.5024,15.05
26.0121,15.25
26.3101,15.45
26.7084,15.65
27.0488,15.85
27.4667,16.05
28.0754,16.26
28.6514,16.46
29.0766,16.66
29.7681,16.86
30.3196,17.06
30.8845,17.26
31.2338,17.46
31.5039,17.66
31.6903,17.86
31.8837,18.07
32.1287,18.27
32.6558,18.47
33.0441,18.67
33.2215,18.87
33.3341,19.07
33.6187,19.27
33.8932,19.47
34.2523,19.67
34.6965,19.88
35.0077,20.08
35.0336,20.28
35.1670,20.48
35.3275,20.68
35.2947,20.88
35.1929,21.08
33.6627,21.28
31.6800,21.48
28.8192,21.69
27.1035,21.89
25.5052,22.09
23.8902,22.29
21.4064,22.49
19.6824,22.69
17.9760,22.89
16.4033,23.09
14.3829,23.30
13.1365,23.50
11.9970,23.70
10.9986,23.90
9.4709,24.10
8.5499,24.30
7.5986,24.50
6.5525,24.70
5.1101,24.90
4.2364,25.11
3.4211,25.31
2.6978,25.51
1.7376,25.71
1.1769,25.91
0.6772,26.11
0.2122,26.31
-0.4380,26.51
-0.8138,26.71
-1.1208,26.92
-1.3944,27.12
-1.7280,27.32
-1.9213,27.52
-2.1069,27.72
-2.2989,27.92
-2.5344,28.12
-2.6944,28.32
-2.8466,28.52
-2.9798,28.73
-3.1583,28.93
-3.2568,29.13
-3.3388,29.33
-3.4150,29.53
-3.5107,29.73
-3.5620,29.93
-3.6264,30.13
-3.6827,30.34
-3.7233,30.54
-3.7445,30.74
-3.7907,30.94
-3.8352,31.14
-3.8811,31.34
-3.9131,31.54
-3.9547,31.74
-3.9936,31.94
-4.0476,32.15
-4.0960,32.35
-4.1358,32.55
-4.1724,32.75
-4.2092,32.95
-4.2383,33.15
-4.2598,33.35
-4.2792,33.55
-4.3053,33.76
-4.3284,33.96
-4.3503,34.16
-4.3598,34.36
-4.3746,34.56
-4.3975,34.76
-4.4175,34.96
-4.4322,35.16
-4.4475,35.36
-4.4572,35.56
-4.4713,35.77
-4.4899,35.97
-4.4988,36.17
-4.5040,36.37
-4.5128,36.57
-4.5190,36.77
