Force (g),Time (s)
-0.0241,6.20
-0.0304,6.40
-0.0296,6.60
-0.0341,6.80
-0.0373,7.01
-0.0333,7.21
-0.0347,7.41
-0.0307,7.61
-0.0347,7.81
-0.0357,8.01
-0.0320,8.21
-0.0421,8.41
-0.0378,8.61
-0.0375,8.81
-0.0390,9.02
-0.0424,9.22
-0.0388,9.42
-0.0419,9.62
-0.0477,9.82
-0.0481,10.02
0.0251,10.22
1.7003,10.42
3.1608,10.62
4.5674,10.82
5.8863,11.03
7.6090,11.23
8.4902,11.43
9.1213,11.63
9.5562,11.83
10.1301,12.03
10.5322,12.23
10.9927,12.43
11.5232,12.64
12.3751,12.84
12.9324,13.04
13.5093,13.24
14.1273,13.44
14.9673,13.64
15.4879,13.84
16.0143,14.04
16.4979,14.24
17.1657,14.44
17.6097,14.65
18.0178,14.85
18.4045,15.05
19.0470,15.25
19.4882,15.45
19.8411,15.65
20.2244,15.85
20.8596,16.05
21.3705,16.26
21.9905,16.46
22.5040,16.66
22.9624,16.86
23.0513,17.06
23.0177,17.26
22.9835,17.46
23.1307,17.66
23.4563,17.86
23.6691,18.07
23.8431,18.27
24.1247,18.47
24.3302,18.67
24.5815,18.87
24.8471,19.07
25.2172,19.27
25.6410,19.47
26.0502,19.67
26.3715,19.88
26.7094,20.08
26.7429,20.28
26.6879,20.48
26.6346,20.68
26.6807,20.88
26.6810,21.08
26.6633,21.28
25.2947,21.48
22.1604,21.69
20.3239,21.89
18.6427,22.09
17.1009,22.29
14.6355,22.49
13.0674,22.69
11.5844,22.89
10.1306,23.09
8.1819,23.30
6.9676,23.50
5.8625,23.70
4.2750,23.90
3.2558,24.10
2.2163,24.30
1.3397,24.50
0.2007,24.70
-0.3892,24.90
-0.8965,25.11
-1.3427,25.31
-1.9590,25.51
-2.3336,25.71
-2.6492,25.91
-2.8988,26.11
-3.1905,26.31
-3.3866,26.51
-3.5756,26.71
-3.7357,26.92
-3.9754,27.12
-4.1199,27.32
-4.2451,27.52
-4.3518,27.72
-4.5041,27.92
-4.5858,28.12
-4.6673,28.32
-4.7421,28.52
-4.8197,28.73
-4.8779,28.93
-4.9208,29.13
-4.9534,29.33
-5.0150,29.53
-5.0433,29.73
-5.0729,29.93
-5.1062,30.13
-5.1576,30.34
-5.1849,30.54
-5.2116,30.74
-5.2471,30.94
-5.2657,31.14
-5.2880,31.34
-5.3077,31.54
-5.3294,31.74
-5.3595,31.94
-5.3749,32.15
-5.3888,32.35
-5.3842,32.55
-5.4129,32.75
-5.4300,32.95
-5.4429,33.15
-5.4628,33.35
-5.4595,33.55
-5.4587,33.76
-5.4679,33.96
-5.4846,34.16
-5.4988,34.36
-5.5139,34.56
-5.5295,34.76
-5.5363,34.96
-5.5572,35.16
-5.5684,35.36
-5.5795,35.56
-5.5860,35.77
