Time (s),Force (g),Ambient temperature (c)
6.19,-0.0016,6.7891
6.40,-0.0010,6.8125
6.60,0.0014,6.8281
6.80,-0.0013,6.9688
7.00,-0.0014,6.8828
7.20,-0.0009,6.8281
7.40,0.0025,6.8359
7.60,0.0041,6.8516
7.80,0.0030,6.8125
8.00,0.0015,6.7891
8.20,0.0017,6.7734
8.41,0.0006,6.7734
8.61,0.0031,6.7266
8.81,0.0006,6.8750
9.01,0.0033,6.7734
9.21,0.0038,6.7500
9.41,0.0022,6.7500
9.61,0.0022,6.8281
9.81,-0.0006,6.7969
10.02,0.0022,6.7734
10.22,0.0077,6.8359
10.42,0.1067,6.7734
10.62,1.5664,6.8281
10.82,3.3774,6.8359
11.02,4.4006,6.8359
11.22,5.4876,6.8516
11.42,6.0456,6.7734
11.62,6.4956,6.8125
11.82,6.9419,6.8281
12.03,7.6142,6.8359
12.23,8.0033,6.7891
12.43,8.3558,6.8281
12.63,8.6845,6.8281
12.83,9.1375,6.7500
13.03,9.4197,6.7656
13.23,9.6837,6.7656
13.43,10.0525,6.8281
13.64,10.2762,6.7656
13.84,10.4895,6.7891
14.04,10.6917,6.8984
14.24,10.9742,6.8594
14.44,11.1462,6.7656
14.64,11.3088,6.8594
14.84,11.4594,6.8281
15.04,11.6755,6.8516
15.24,11.8059,6.8281
15.45,11.9312,6.7891
15.65,12.1025,6.8359
15.85,12.2038,6.8594
16.05,12.2964,6.8594
16.25,12.3845,6.8594
16.45,12.4913,6.7891
16.65,12.5494,6.7891
16.85,12.6023,6.8125
17.05,12.6479,6.8281
17.26,12.6960,6.8125
17.46,12.7228,6.8359
17.66,12.7388,6.8359
17.86,12.7482,6.8750
18.06,12.7520,6.7500
18.26,12.7411,6.7656
18.46,12.7255,6.9375
18.66,12.6922,6.8359
18.86,12.6664,6.8750
19.07,12.6442,6.7500
19.27,12.6111,6.8125
19.47,12.5642,6.8516
19.67,12.5432,6.8281
19.87,12.5188,6.8125
20.07,12.4977,6.7891
20.27,12.4651,6.8281
20.47,12.4486,6.7969
20.67,12.4349,6.8281
20.88,12.4225,6.8281
21.08,12.2538,6.8281
21.28,9.1351,6.8359
21.48,7.2463,6.8281
21.68,5.6829,6.7891
21.88,4.9445,6.8750
22.08,4.3510,6.7891
22.28,3.8458,6.7500
22.49,3.2364,6.8594
22.69,2.8907,6.8359
22.89,2.5944,6.8828
23.09,2.3403,6.8750
23.29,2.0039,6.7969
23.49,1.8134,6.7891
23.69,1.6440,6.7969
23.89,1.4192,6.7969
24.09,1.2924,6.8125
24.30,1.1696,6.7734
24.50,1.0631,6.7891
24.70,0.9275,6.8359
24.90,0.8358,6.7734
25.10,0.7592,6.8828
25.30,0.6915,6.8594
25.50,0.5969,6.8359
25.70,0.5416,6.8359
25.90,0.4885,6.7656
26.11,0.4419,6.8281
26.31,0.3753,6.7969
26.51,0.3319,6.8281
26.71,0.2955,6.8359
26.91,0.2412,6.8828
27.11,0.2097,6.9375
27.31,0.1794,6.8828
27.51,0.1542,6.7656
27.71,0.1136,6.8281
27.92,0.0917,6.8750
28.12,0.0693,6.8750
28.32,0.0493,6.8750
28.52,0.0171,6.8359
28.72,0.0026,6.8125
28.92,-0.0166,6.8516
29.12,-0.0362,6.8594
29.32,-0.0565,6.8125
29.53,-0.0694,6.8281
29.73,-0.0812,6.7891
29.93,-0.1002,6.8359
30.13,-0.1030,6.7734
30.33,-0.1148,6.8281
30.53,-0.1260,6.8359
30.73,-0.1364,6.8828
30.93,-0.1539,6.8984
31.13,-0.1578,6.8125
31.34,-0.1640,6.8125
31.54,-0.1798,6.8359
