Force (g),Time (s)
-0.0337,6.20
-0.0370,6.40
-0.0406,6.60
-0.0364,6.80
-0.0359,7.01
-0.0426,7.21
-0.0370,7.41
-0.0380,7.61
-0.0377,7.81
-0.0398,8.01
-0.0436,8.21
-0.0469,8.41
-0.0429,8.61
-0.0480,8.81
-0.0440,9.02
-0.0445,9.22
-0.0442,9.42
-0.0516,9.62
-0.0476,9.82
-0.0493,10.02
-0.0512,10.22
0.4766,10.42
2.1751,10.62
4.3009,10.82
6.6518,11.03
12.0664,11.23
16.5137,11.43
20.7458,11.63
24.7242,11.83
29.9192,12.03
32.9054,12.23
35.8641,12.43
38.8941,12.64
43.1727,12.84
45.8999,13.04
48.5416,13.24
50.9367,13.44
54.2016,13.64
55.7638,13.84
57.2523,14.04
58.6191,14.24
60.7919,14.44
61.9811,14.65
63.1330,14.85
64.7981,15.05
67.7539,15.25
69.6744,15.45
71.2033,15.65
72.4304,15.85
73.9792,16.05
74.5482,16.26
75.0229,16.46
75.9764,16.66
78.1261,16.86
79.7095,17.06
81.2811,17.26
82.4729,17.46
83.7531,17.66
83.8908,17.86
83.7568,18.07
83.5774,18.27
83.7429,18.47
83.4144,18.67
83.5492,18.87
84.1432,19.07
84.3754,19.27
84.3628,19.47
85.0125,19.67
85.4635,19.88
85.0448,20.08
84.9462,20.28
85.0647,20.48
84.6695,20.68
82.9010,20.88
78.0289,21.08
72.7365,21.28
68.3187,21.48
62.6460,21.69
59.1012,21.89
55.4491,22.09
51.8594,22.29
46.2008,22.49
42.8297,22.69
39.9617,22.89
37.4449,23.09
34.0770,23.30
31.5433,23.50
29.0617,23.70
26.6160,23.90
23.4949,24.10
21.2284,24.30
18.8399,24.50
16.5689,24.70
13.5586,24.90
11.8601,25.11
10.2899,25.31
8.9398,25.51
7.2443,25.71
6.2785,25.91
5.2849,26.11
4.3423,26.31
2.9839,26.51
2.1998,26.71
1.5868,26.92
1.0532,27.12
0.4323,27.32
0.1421,27.52
-0.1828,27.72
-0.4360,27.92
-0.6759,28.12
-0.8146,28.32
-0.9725,28.52
-1.1505,28.73
-1.2936,28.93
-1.4249,29.13
-1.5343,29.33
-1.6503,29.53
-1.8029,29.73
-1.8902,29.93
-1.9631,30.13
-2.0273,30.34
-2.1281,30.54
-2.1939,30.74
-2.2413,30.94
-2.2876,31.14
-2.3301,31.34
-2.3546,31.54
-2.3801,31.74
-2.4039,31.94
-2.4448,32.15
-2.4646,32.35
-2.4432,32.55
-2.4796,32.75
-2.5375,32.95
-2.5625,33.15
-2.5967,33.35
-2.6172,33.55
-2.6458,33.76
-2.6690,33.96
-2.6800,34.16
-2.6845,34.36
-2.6978,34.56
-2.7085,34.76
-2.7245,34.96
-2.7306,35.16
-2.7192,35.36
-2.7085,35.56
-2.7130,35.77
-2.7137,35.97
-2.7281,36.17
-2.7323,36.37
-2.7310,36.57
-2.7319,36.77
