Force (g),Time (s)
-0.0804,6.20
-0.0814,6.40
-0.0854,6.60
-0.0881,6.80
-0.0918,7.01
-0.0937,7.21
-0.1033,7.41
-0.1073,7.61
-0.1103,7.81
-0.1132,8.01
-0.1151,8.21
-0.1182,8.41
-0.1199,8.61
-0.1224,8.81
-0.1248,9.02
-0.1264,9.22
-0.1369,9.42
-0.1370,9.62
-0.1350,9.82
-0.1447,10.02
-0.1469,10.22
-0.1531,10.42
0.3609,10.62
5.5188,10.82
12.1168,11.03
18.1270,11.23
19.6495,11.43
20.2555,11.63
20.5760,11.83
21.2796,12.03
22.1888,12.23
23.5590,12.43
25.3233,12.64
28.6463,12.84
30.9162,13.04
33.2272,13.24
35.5421,13.44
39.1565,13.64
41.7019,13.84
44.2931,14.04
46.5351,14.24
49.7816,14.44
51.8581,14.65
53.6591,14.85
55.4604,15.05
58.0332,15.25
59.5043,15.45
60.7653,15.65
62.0349,15.85
63.9219,16.05
64.9772,16.26
66.1957,16.46
67.1500,16.66
68.3544,16.86
69.3901,17.06
70.3293,17.26
71.2116,17.46
72.3199,17.66
72.7774,17.86
73.2252,18.07
73.5585,18.27
74.2271,18.47
73.8732,18.67
73.3607,18.87
72.7261,19.07
71.6928,19.27
71.3283,19.47
71.2832,19.67
70.8984,19.88
69.2746,20.08
67.6991,20.28
66.6736,20.48
66.0077,20.68
63.6794,20.88
58.8542,21.08
54.2610,21.28
49.8539,21.48
43.1811,21.69
38.8568,21.89
34.7622,22.09
31.0592,22.29
26.0148,22.49
22.8033,22.69
19.5264,22.89
16.5406,23.09
12.9591,23.30
10.9464,23.50
8.8001,23.70
6.7237,23.90
3.9338,24.10
1.9357,24.30
-0.1607,24.50
-1.9110,24.70
-3.9167,24.90
-5.2061,25.11
-6.5768,25.31
-8.0458,25.51
-9.7525,25.71
-10.4560,25.91
-11.0188,26.11
-11.5386,26.31
-12.1672,26.51
-12.5096,26.71
-12.7116,26.92
-12.9080,27.12
-13.1184,27.32
-13.2617,27.52
-13.3890,27.72
-13.4698,27.92
-13.5456,28.12
-13.5839,28.32
-13.6725,28.52
-13.7675,28.73
-13.8799,28.93
-13.8982,29.13
-13.9181,29.33
-13.9231,29.53
-13.9284,29.73
-13.9766,29.93
-14.0269,30.13
-14.0698,30.34
-14.1248,30.54
-14.1453,30.74
-14.1775,30.94
-14.2073,31.14
-14.2336,31.34
-14.2534,31.54
-14.2701,31.74
-14.2908,31.94
-14.3105,32.15
-14.3255,32.35
-14.3354,32.55
-14.3296,32.75
-14.3380,32.95
-14.3497,33.15
-14.3540,33.35
-14.3617,33.55
-14.3745,33.76
-14.3777,33.96
-14.3818,34.16
-14.3892,34.36
-14.3871,34.56
-14.3842,34.76
-14.3851,34.96
-14.3895,35.16
-14.4072,35.36
-14.4076,35.56
-14.4080,35.77
-14.4113,35.97
-14.4145,36.17
