Time (s),Force (g),Ambient temperature (c)
6.19,-0.0030,6.5703
6.40,-0.0035,6.5391
6.60,-0.0035,6.5391
6.80,-0.0046,6.5078
7.00,-0.0073,6.5078
7.20,-0.0005,6.4453
7.40,-0.0033,6.5391
7.60,-0.0019,6.5547
7.80,-0.0018,6.5703
8.00,-0.0050,6.4922
8.20,-0.0039,6.5703
8.41,-0.0043,6.5156
8.61,-0.0048,6.4688
8.81,-0.0058,6.5547
9.01,-0.0044,6.5156
9.21,-0.0053,6.4531
9.41,-0.0064,6.5156
9.61,-0.0064,6.5781
9.81,-0.0056,6.5156
10.02,-0.0027,6.5078
10.22,0.0139,6.5391
10.42,1.6854,6.5703
10.62,2.6741,6.5078
10.82,3.3604,6.5156
11.02,3.9312,6.5078
11.22,4.6632,6.4922
11.42,5.0741,6.5078
11.62,5.4513,6.5703
11.82,5.7978,6.5078
12.03,6.2826,6.5938
12.23,6.5842,6.4922
12.43,6.8591,6.4453
12.63,7.0819,6.5547
12.83,7.4230,6.4453
13.03,7.6393,6.5156
13.23,7.8468,6.5078
13.43,8.1281,6.5938
13.64,8.2927,6.5078
13.84,8.4503,6.5313
14.04,8.5983,6.6172
14.24,8.8187,6.5313
14.44,8.9536,6.5547
14.64,9.0835,6.5156
14.84,9.2049,6.5156
15.04,9.3747,6.4688
15.24,9.4785,6.5938
15.45,9.5699,6.4688
15.65,9.7001,6.5078
15.85,9.7684,6.5703
16.05,9.8340,6.5156
16.25,9.8907,6.4688
16.45,9.9648,6.5156
16.65,9.9982,6.5078
16.85,10.0300,6.5703
17.05,10.0576,6.5078
17.26,10.0787,6.5156
17.46,10.0813,6.4531
17.66,10.0852,6.4844
17.86,10.0811,6.5781
18.06,10.0701,6.5078
18.26,10.0529,6.4531
18.46,10.0315,6.5078
18.66,9.9989,6.4688
18.86,9.9701,6.5156
19.07,9.9401,6.4688
19.27,9.9164,6.4922
19.47,9.8805,6.5078
19.67,9.8560,6.4453
19.87,9.8347,6.5156
20.07,9.8131,6.4922
20.27,8.5726,6.5156
20.47,6.5773,6.5391
20.67,5.5617,6.4531
20.88,4.8287,6.5156
21.08,4.0096,6.5156
21.28,3.5892,6.4844
21.48,3.2333,6.5547
21.68,2.7925,6.4922
21.88,2.5529,6.4844
22.08,2.3472,6.4922
22.28,2.1670,6.5391
22.49,1.9356,6.5391
22.69,1.8072,6.5547
22.89,1.6862,6.5547
23.09,1.5785,6.5078
23.29,1.4388,6.5313
23.49,1.3573,6.5313
23.69,1.2845,6.5156
23.89,1.2202,6.5156
24.09,1.1264,6.5078
24.30,1.0784,6.4453
24.50,1.0336,6.5078
24.70,0.9709,6.5313
24.90,0.9296,6.5703
25.10,0.8930,6.4688
25.30,0.8595,6.4922
25.50,0.8135,6.5078
25.70,0.7833,6.4922
25.90,0.7644,6.4844
26.11,0.7411,6.5703
26.31,0.7050,6.4688
26.51,0.6863,6.5156
26.71,0.6672,6.5547
26.91,0.6404,6.4063
27.11,0.6257,6.4531
27.31,0.6107,6.4844
27.51,0.5979,6.4844
27.71,0.5772,6.4453
27.92,0.5664,6.5156
28.12,0.5568,6.4531
28.32,0.5454,6.5313
28.52,0.5316,6.4844
28.72,0.5253,6.4844
28.92,0.5149,6.5078
29.12,0.5064,6.5156
29.32,0.4928,6.5391
29.53,0.4868,6.5156
29.73,0.4825,6.4531
29.93,0.4691,6.5078
30.13,0.4693,6.5938
30.33,0.4615,6.4531
30.53,0.4555,6.5078
30.73,0.4466,6.4453
