Time (s),Force (g)
6.20,-0.0078
6.40,-0.0080
6.60,-0.0036
6.80,-0.0089
7.00,-0.0093
7.21,-0.0069
7.41,-0.0102
7.61,-0.0082
7.81,-0.0134
8.01,-0.0108
8.21,-0.0116
8.41,-0.0136
8.61,-0.0114
8.81,-0.0103
9.01,-0.0124
9.22,-0.0137
9.42,-0.0093
9.62,-0.0103
9.82,-0.0100
10.02,-0.0161
10.22,-0.0103
10.42,0.0244
10.62,0.5618
10.82,1.7414
11.03,2.9401
11.23,4.6051
11.43,5.6918
11.63,6.7787
11.83,7.8449
12.03,9.3108
12.23,10.2660
12.43,11.1811
12.64,12.0962
12.84,13.4723
13.04,14.3352
13.24,15.1921
13.44,16.0090
13.64,17.1876
13.84,17.9445
14.04,18.6314
14.24,19.2883
14.44,20.3191
14.65,20.9095
14.85,21.4788
15.05,22.1196
15.25,23.0919
15.45,23.6312
15.65,24.1670
15.85,24.7023
16.05,25.4796
16.26,25.9830
16.46,26.5087
16.66,26.9866
16.86,27.6052
17.06,27.9555
17.26,28.3398
17.46,28.7758
17.66,29.3737
17.86,29.7357
18.07,30.0893
18.27,30.4396
18.47,30.9297
18.67,31.2396
18.87,31.4584
19.07,31.6707
19.27,32.1276
19.47,32.3809
19.67,32.7727
19.88,33.0788
20.08,33.4311
20.28,33.7482
20.48,34.1226
20.68,34.5166
20.88,34.9975
21.08,34.8174
21.28,33.8234
21.48,32.8380
21.69,31.1949
21.89,30.0940
22.09,29.2528
22.29,28.4746
22.49,27.2926
22.69,26.5481
22.89,25.8552
23.09,25.2137
23.30,24.3234
23.50,23.6693
23.70,22.9787
23.90,22.3108
24.10,21.4522
24.30,20.9167
24.50,20.3474
24.70,19.7961
24.90,18.9940
25.11,18.4820
25.31,17.9936
25.51,17.4659
25.71,16.6831
25.91,16.2244
26.11,15.7792
26.31,15.3281
26.51,14.6903
26.71,14.3092
26.92,13.9237
27.12,13.5241
27.32,12.8393
27.52,12.3442
27.72,11.8781
27.92,11.3967
28.12,10.7559
28.32,10.4038
28.52,10.0871
28.73,9.7631
28.93,9.2811
29.13,8.9582
29.33,8.6393
29.53,8.3610
29.73,7.9244
29.93,7.6089
30.13,7.2690
30.34,6.9959
30.54,6.6258
30.74,6.3686
30.94,6.1383
31.14,5.9176
31.34,5.6148
31.54,5.4454
31.74,5.3000
31.94,5.1516
32.15,4.9584
32.35,4.8131
32.55,4.6552
32.75,4.4907
32.95,4.2657
33.15,4.1296
33.35,3.9954
33.55,3.8518
33.76,3.6754
33.96,3.5746
34.16,3.4526
34.36,3.3242
34.56,3.1750
34.76,3.0799
34.96,2.9965
35.16,2.9160
35.36,2.7876
35.56,2.7086
35.77,2.6305
35.97,2.5655
36.17,2.4686
36.37,2.3965
36.57,2.3156
36.77,2.2446
36.97,2.1303
37.17,2.0488
37.38,1.9745
37.58,1.8982
37.78,1.7889
37.98,1.7287
38.18,1.6771
38.38,1.6261
38.58,1.5595
38.78,1.5127
38.99,1.4678
39.19,1.4178
39.39,1.3473
39.59,1.3066
39.79,1.2579
39.99,1.2150
40.19,1.1603
40.39,1.1255
40.59,1.0892
40.79,1.0589
41.00,0.9991
41.20,0.9770
41.40,0.9552
41.60,0.9309
41.80,0.8981
42.00,0.8753
42.20,0.8554
42.40,0.8296
42.61,0.7855
42.81,0.7515
43.01,0.7225
43.21,0.7047
43.41,0.6706
43.61,0.6516
43.81,0.6362
44.01,0.6210
44.21,0.6035
44.42,0.5797
44.62,0.5618
44.82,0.5538
45.02,0.5303
45.22,0.5166
45.42,0.5009
45.62,0.4876
45.82,0.4727
46.03,0.4364
46.23,0.4185
46.43,0.4077
