Time (s),Force (g)
6.20,-0.0125
6.40,-0.0137
6.60,-0.0178
6.80,-0.0132
7.00,-0.0171
7.20,-0.0151
7.40,-0.0195
7.60,-0.0142
7.80,-0.0124
8.01,-0.0156
8.21,-0.0192
8.41,-0.0149
8.61,-0.0106
8.81,-0.0127
9.01,-0.0132
9.21,-0.0200
9.41,-0.0175
9.61,-0.0134
9.81,-0.0140
10.02,-0.0191
10.22,-0.0170
10.42,0.0127
10.62,0.5318
10.82,1.7275
11.02,2.9426
11.22,4.6401
11.42,5.7338
11.62,6.8184
11.82,7.8625
12.03,9.3878
12.23,10.3582
12.43,11.3230
12.63,12.2730
12.83,13.6232
13.03,14.4794
13.23,15.3205
13.43,16.0845
13.64,17.1914
13.84,17.9201
14.04,18.6542
14.24,19.3398
14.44,20.2466
14.64,20.8560
14.84,21.4409
15.04,22.0299
15.24,22.9080
15.45,23.4974
15.65,23.9228
15.85,24.3390
16.05,24.9909
16.25,25.4478
16.45,25.8435
16.65,26.3057
16.85,27.0006
17.05,27.4675
17.26,27.9240
17.46,28.4020
17.66,29.0926
17.86,29.5501
18.06,30.0317
18.26,30.5352
18.46,31.2411
18.66,31.6888
18.86,32.0489
19.07,32.3510
19.27,32.9262
19.47,33.2880
19.67,33.7312
19.87,34.1482
20.07,34.8047
20.27,35.2255
20.47,35.6147
20.67,35.8974
20.88,36.0659
21.08,35.2188
21.28,34.1388
21.48,33.1600
21.68,31.7463
21.88,30.7557
22.08,29.7503
22.28,28.7792
22.49,27.3793
22.69,26.5200
22.89,25.6949
23.09,24.9268
23.29,23.7273
23.49,23.0504
23.69,22.4160
23.89,21.7651
24.09,20.8234
24.30,20.2125
24.50,19.5589
24.70,18.8043
24.90,17.3551
25.10,16.3591
25.30,15.4338
25.50,14.5333
25.70,13.2763
25.90,12.4416
26.11,11.6294
26.31,10.9453
26.51,9.8795
26.71,9.2731
26.91,8.7178
27.11,8.2140
27.31,7.5770
27.51,7.2226
27.71,6.9261
27.92,6.6770
28.12,6.3877
28.32,6.1782
28.52,5.9367
28.72,5.6331
28.92,5.4562
29.12,5.2309
29.32,4.9954
29.53,4.6849
29.73,4.4996
29.93,4.3152
30.13,4.1307
30.33,3.9036
30.53,3.7564
30.73,3.6275
30.93,3.5095
31.13,3.2861
31.34,3.1389
31.54,3.0158
31.74,2.9184
31.94,2.7697
32.14,2.6642
32.34,2.5498
32.54,2.4537
32.74,2.3194
32.95,2.2432
33.15,2.1424
33.35,2.0379
33.55,1.9117
33.75,1.8351
33.95,1.7563
34.15,1.6675
34.35,1.5599
34.55,1.4973
34.76,1.4349
34.96,1.3867
35.16,1.3185
35.36,1.2732
35.56,1.2306
35.76,1.1988
35.96,1.1351
36.16,1.0922
36.36,1.0490
36.57,1.0133
36.77,0.9628
36.97,0.9318
37.17,0.9022
37.37,0.8663
37.57,0.8050
37.77,0.7633
37.97,0.7356
38.18,0.7136
38.38,0.6855
38.58,0.6545
38.78,0.6318
38.98,0.6139
39.18,0.5811
39.38,0.5618
39.58,0.5298
39.78,0.5032
39.99,0.4773
40.19,0.4589
40.39,0.4317
40.59,0.4168
40.79,0.3745
40.99,0.3573
41.19,0.3426
41.39,0.3235
41.59,0.2860
41.79,0.2674
42.00,0.2490
42.20,0.2314
42.40,0.2035
42.60,0.1860
42.80,0.1766
43.00,0.1567
43.20,0.1404
43.40,0.1292
43.61,0.1102
43.81,0.0996
44.01,0.0956
44.21,0.0818
44.41,0.0697
44.61,0.0564
44.81,0.0484
45.01,0.0445
45.22,0.0385
