Force (kgs),Input Signal
-0.0002,0
-0.0002,0
-0.0002,0
-0.0002,0
-0.0001,0
-0.0001,0
-0.0003,0
-0.0003,0
-0.0002,0
-0.0001,1
0.0002,1
0.0004,1
0.0005,1
0.0006,1
0.0010,1
0.0010,1
0.0011,1
0.0013,1
0.0014,1
0.0017,1
0.0018,1
0.0022,1
0.0020,1
0.0021,1
0.0021,1
0.0022,1
0.0023,1
0.0023,1
0.0024,1
0.0021,0
0.0011,0
0.0006,0
0.0002,0
-0.0000,0
-0.0003,0
-0.0004,0
-0.0004,0
-0.0004,0
-0.0003,0
-0.0004,0
-0.0006,0
-0.0007,0
-0.0005,0
-0.0007,0
-0.0005,0
-0.0006,0
-0.0008,0
-0.0005,0
-0.0005,0
-0.0005,1
-0.0003,1
-0.0001,1
0.0000,1
0.0002,1
0.0006,1
0.0009,1
0.0011,1
0.0014,1
0.0017,1
0.0019,1
0.0022,1
0.0022,1
0.0022,1
0.0021,1
0.0023,1
0.0025,1
0.0026,1
0.0026,1
0.0026,1
0.0025,0
0.0017,0
0.0009,0
0.0004,0
0.0000,0
-0.0001,0
-0.0003,0
-0.0004,0
-0.0005,0
-0.0004,0
-0.0005,0
-0.0006,0
-0.0006,0
-0.0004,0
-0.0005,0
-0.0006,0
-0.0006,0
-0.0006,0
-0.0007,0
-0.0006,0
-0.0007,1
-0.0005,1
-0.0003,1
-0.0003,1
0.0001,1
0.0003,1
0.0003,1
0.0007,1
0.0009,1
0.0012,1
0.0015,1
0.0017,1
0.0022,1
0.0023,1
0.0025,1
0.0026,1
0.0028,1
0.0029,1
0.0030,1
0.0028,1
0.0025,0
0.0015,0
0.0009,0
0.0004,0
-0.0000,0
-0.0002,0
-0.0004,0
-0.0003,0
-0.0004,0
-0.0004,0
-0.0005,0
-0.0005,0
-0.0006,0
-0.0006,0
-0.0006,0
-0.0006,0
-0.0006,0
-0.0005,0
-0.0006,0
-0.0006,0
-0.0006,1
-0.0003,1
-0.0002,1
-0.0000,1
-0.0001,1
0.0002,1
0.0004,1
0.0006,1
0.0010,1
0.0011,1
0.0014,1
0.0015,1
0.0019,1
0.0020,1
0.0022,1
0.0022,1
0.0022,1
0.0026,1
-0.0001,1
0.0029,1
0.0127,0
0.0149,0
0.0330,0
0.0386,0
0.0393,0
0.0383,0
0.0323,0
0.0288,0
0.0382,0
0.0564,0
0.0545,0
0.0500,0
0.0459,0
0.0396,0
0.0385,0
0.0365,0
0.0265,0
0.0168,0
0.0255,0
0.0291,0
0.0258,1
0.0249,1
0.0231,1
0.0254,1
0.0267,1
0.0333,1
0.0177,1
0.0166,1
0.0099,1
0.0247,1
0.0212,1
0.0111,1
0.0213,1
0.0167,1
0.0044,1
-0.0007,1
-0.0097,1
0.0095,1
0.0027,1
0.0017,1
-0.0041,0
-0.0085,0
0.0027,0
0.0002,0
-0.0001,0
-0.0002,0
-0.0003,0
-0.0004,0
-0.0005,0
-0.0005,0
-0.0006,0
-0.0007,0
-0.0008,0
-0.0007,0
-0.0006,0
-0.0007,0
-0.0006,0
-0.0006,0
-0.0007,0
-0.0007,0
-0.0004,1
-0.0004,1
-0.0002,1
-0.0001,1
-0.0000,1
0.0004,1
0.0006,1
0.0008,1
0.0012,1
0.0014,1
0.0016,1
0.0015,1
0.0017,1
0.0019,1
0.0019,1
0.0018,1
0.0019,1
0.0021,1
0.0023,1
0.0023,0
0.0017,0
0.0009,0
0.0003,0
0.0002,0
-0.0002,0
-0.0004,0
-0.0004,0
-0.0003,0
-0.0005,0
-0.0006,0
-0.0005,0
-0.0005,0
-0.0006,0
-0.0008,0
-0.0005,0
-0.0007,0
-0.0006,0
-0.0006,0
-0.0007,0
-0.0006,1
-0.0005,1
-0.0004,1
-0.0003,1
-0.0002,1
-0.0001,1
0.0002,1
0.0003,1
0.0007,1
0.0007,1
0.0011,1
0.0015,1
0.0014,1
0.0013,1
0.0014,1
0.0015,1
0.0015,1
0.0019,1
0.0019,1
0.0020,1
0.0021,0
0.0012,0
0.0005,0
0.0001,0
-0.0001,0
-0.0003,0
-0.0004,0
-0.0005,0
-0.0006,0
-0.0005,0
-0.0004,0
-0.0005,0
-0.0007,0
-0.0006,0
-0.0006,0
-0.0005,0
-0.0006,0
-0.0006,0
-0.0007,0
-0.0007,0
-0.0006,1
-0.0004,1
-0.0003,1
-0.0003,1
-0.0002,1
-0.0000,1
0.0004,1
0.0006,1
0.0006,1
0.0005,1
0.0006,1
0.0008,1
0.0009,1
0.0009,1
0.0011,1
0.0013,1
0.0014,1
0.0015,1
0.0018,1
0.0019,1
0.0019,0
0.0011,0
0.0004,0
-0.0000,0
-0.0001,0
-0.0002,0
-0.0005,0
-0.0005,0
-0.0003,0
-0.0004,0
-0.0005,0
-0.0005,0
-0.0005,0
-0.0007,0
-0.0005,0
-0.0006,0
-0.0006,0
