Force (kgs),Input Signal
0.0000,0
-0.0000,0
0.0000,0
0.0000,0
-0.0000,0
-0.0001,0
-0.0001,0
-0.0001,0
0.0001,0
-0.0000,0
0.0001,0
0.0002,0
0.0000,0
-0.0000,0
-0.0000,0
-0.0001,0
0.0002,0
0.0001,0
0.0001,0
0.0002,0
0.0001,0
0.0002,0
0.0001,0
0.0000,0
0.0001,0
0.0001,0
0.0001,0
-0.0000,0
-0.0001,0
0.0000,0
0.0001,0
-0.0000,0
-0.0000,0
0.0001,0
0.0001,0
0.0001,0
0.0000,0
0.0000,0
0.0000,0
-0.0000,0
0.0000,0
-0.0001,0
-0.0001,0
-0.0000,0
-0.0001,0
0.0000,0
0.0001,0
0.0001,0
0.0001,0
0.0000,0
-0.0000,0
0.0001,0
0.0001,0
-0.0000,0
0.0000,0
-0.0000,0
0.0000,0
0.0000,0
-0.0001,0
0.0001,0
0.0002,0
0.0001,0
0.0001,0
-0.0000,0
0.0001,0
0.0001,0
-0.0001,0
0.0001,0
0.0001,0
0.0001,0
0.0001,0
0.0002,0
-0.0000,0
0.0001,0
0.0000,0
-0.0001,0
0.0001,0
0.0001,0
0.0002,0
0.0000,0
0.0001,0
0.0001,0
0.0001,0
0.0002,0
0.0002,0
0.0000,0
0.0002,0
0.0003,0
0.0001,0
0.0000,0
0.0001,0
0.0001,0
0.0000,0
0.0000,0
0.0002,0
0.0001,0
0.0002,0
0.0001,0
0.0001,0
0.0000,0
0.0001,0
0.0001,0
0.0002,0
0.0002,0
-0.0001,0
0.0000,0
0.0001,0
0.0001,0
0.0001,0
0.0001,0
0.0000,0
0.0000,0
0.0001,0
0.0002,0
0.0001,0
-0.0001,0
-0.0000,0
0.0002,0
0.0000,0
-0.0000,0
0.0001,0
0.0000,1
0.0002,1
0.0004,1
0.0007,1
0.0007,1
0.0012,1
0.0014,1
0.0016,1
0.0017,1
0.0022,1
0.0022,1
0.0026,1
0.0027,1
0.0033,1
0.0036,1
0.0041,1
0.0043,1
0.0045,1
0.0051,1
0.0054,1
0.0059,1
0.0061,1
0.0064,1
0.0067,1
0.0069,1
0.0071,1
0.0074,1
0.0077,1
0.0079,1
0.0078,1
0.0080,1
0.0081,1
0.0082,1
0.0082,1
0.0083,1
0.0084,1
0.0088,1
0.0089,1
0.0094,1
0.0095,1
0.0094,1
0.0096,1
0.0094,1
0.0094,1
0.0092,1
0.0091,1
0.0091,1
0.0092,1
0.0094,1
0.0093,1
0.0097,1
0.0096,1
0.0099,1
0.0101,1
0.0102,1
0.0103,1
0.0104,1
0.0105,1
0.0108,1
0.0108,1
0.0109,1
0.0110,1
0.0113,1
0.0113,1
0.0113,1
0.0115,1
0.0115,1
0.0115,1
0.0115,1
0.0116,1
0.0117,1
0.0118,1
0.0119,1
0.0122,1
0.0123,1
0.0124,1
0.0123,1
0.0124,1
0.0124,1
0.0125,1
0.0127,1
0.0123,1
0.0122,1
0.0120,1
0.0116,1
0.0110,1
0.0104,1
0.0101,1
0.0096,1
0.0094,1
0.0095,1
0.0092,1
0.0092,1
0.0090,1
0.0090,1
0.0092,1
0.0093,1
0.0092,1
0.0094,1
0.0097,1
0.0098,1
0.0099,1
0.0102,1
0.0102,1
0.0102,1
0.0102,1
0.0106,1
0.0108,1
0.0109,1
0.0110,1
0.0111,1
0.0110,1
0.0112,1
0.0113,1
0.0114,1
0.0113,1
0.0115,1
0.0112,1
0.0114,1
0.0115,1
0.0116,1
0.0115,1
0.0117,1
0.0116,1
0.0117,1
0.0115,1
0.0116,1
0.0115,1
0.0114,1
0.0116,1
0.0116,1
0.0118,1
0.0120,1
0.0120,1
0.0121,1
0.0122,1
0.0124,1
0.0125,1
0.0127,1
0.0127,1
0.0129,1
0.0132,1
0.0133,1
0.0133,1
0.0131,1
0.0130,1
0.0128,1
0.0124,1
0.0122,1
0.0120,0
0.0114,0
0.0100,0
0.0089,0
0.0079,0
0.0070,0
0.0058,0
0.0051,0
0.0043,0
0.0036,0
0.0027,0
0.0022,0
0.0018,0
0.0015,0
0.0011,0
0.0010,0
0.0009,0
0.0006,0
0.0004,0
0.0005,0
0.0003,0
0.0003,0
0.0003,0
0.0001,0
-0.0000,0
-0.0001,0
-0.0000,0
0.0001,0
-0.0000,0
-0.0001,0
0.0000,0
-0.0001,0
-0.0001,0
-0.0002,0
-0.0002,0
-0.0003,0
-0.0001,0
-0.0003,0
-0.0003,0
-0.0002,0
-0.0001,0
-0.0003,0
-0.0003,0
-0.0004,0
-0.0002,0
-0.0003,0
-0.0003,0
-0.0003,0
-0.0003,0
-0.0003,0
-0.0003,0
-0.0003,0
-0.0002,0
-0.0003,0
-0.0002,0
-0.0002,0
-0.0002,0
-0.0003,0
-0.0003,0
-0.0004,0
-0.0003,0
-0.0003,0
-0.0003,0
-0.0004,0
-0.0003,0
-0.0004,0
-0.0004,0
-0.0003,0
-0.0002,0
-0.0002,0
-0.0004,0
-0.0004,0
-0.0003,0
-0.0002,0
-0.0003,0
-0.0002,0
-0.0002,0
-0.0002,0
-0.0003,0
-0.0003,0
-0.0003,0
-0.0004,0
-0.0002,0
-0.0004,0
-0.0002,0
-0.0005,0
-0.0002,0
-0.0003,0
-0.0002,0
-0.0005,0
-0.0004,0
-0.0003,0
-0.0001,0
-0.0003,0
-0.0003,0
-0.0004,0
-0.0003,0
-0.0003,0
-0.0003,0
-0.0004,0
-0.0002,0
-0.0003,0
-0.0004,0
-0.0003,0
-0.0003,0
-0.0001,0
-0.0003,0
