Force (g),Time (s)
-0.0201,6.20
-0.0202,6.40
-0.0213,6.60
-0.0236,6.80
-0.0202,7.01
-0.0255,7.21
-0.0249,7.41
-0.0260,7.61
-0.0228,7.81
-0.0269,8.01
-0.0231,8.21
-0.0261,8.41
-0.0269,8.61
-0.0254,8.81
-0.0270,9.02
-0.0305,9.22
-0.0341,9.42
-0.0336,9.62
-0.0375,9.82
-0.0376,10.02
0.0041,10.22
3.9616,10.42
8.3600,10.62
12.4649,10.82
15.9270,11.03
20.3787,11.23
23.0780,11.43
25.4915,11.63
27.7294,11.83
30.7448,12.03
32.5158,12.23
34.1014,12.43
35.8427,12.64
38.3435,12.84
39.8928,13.04
41.3228,13.24
42.6535,13.44
44.5356,13.64
45.5605,13.84
46.3738,14.04
47.2925,14.24
48.3855,14.44
49.4462,14.65
50.5454,14.85
51.6698,15.05
53.4845,15.25
54.3979,15.45
54.7727,15.65
55.0988,15.85
55.1393,16.05
55.2709,16.26
55.3411,16.46
55.7084,16.66
56.3907,16.86
57.1549,17.06
58.0189,17.26
58.4565,17.46
58.9061,17.66
59.4565,17.86
59.8542,18.07
60.0042,18.27
60.3484,18.47
60.6840,18.67
60.8737,18.87
60.3967,19.07
59.8898,19.27
60.0415,19.47
60.3634,19.67
60.7807,19.88
61.8215,20.08
62.3738,20.28
59.4920,20.48
55.8810,20.68
50.2663,20.88
46.4895,21.08
42.5259,21.28
38.6791,21.48
33.4831,21.69
30.6777,21.89
28.0788,22.09
25.6103,22.29
21.9265,22.49
19.7670,22.69
18.0113,22.89
16.4111,23.09
14.2256,23.30
12.7761,23.50
11.2130,23.70
9.5800,23.90
7.4096,24.10
6.2988,24.30
5.2268,24.50
4.0381,24.70
2.2049,24.90
1.1271,25.11
0.1236,25.31
-0.7541,25.51
-1.8547,25.71
-2.4958,25.91
-3.0480,26.11
-3.5568,26.31
-4.0688,26.51
-4.3395,26.71
-4.5354,26.92
-4.7082,27.12
-4.8656,27.32
-4.9942,27.52
-5.1362,27.72
-5.2688,27.92
-5.4202,28.12
-5.5083,28.32
-5.5975,28.52
-5.6764,28.73
-5.7920,28.93
-5.8691,29.13
-5.9566,29.33
-6.0440,29.53
-6.1370,29.73
-6.1828,29.93
-6.1962,30.13
-6.2128,30.34
-6.3027,30.54
-6.3461,30.74
-6.3742,30.94
-6.3954,31.14
-6.4415,31.34
-6.4588,31.54
-6.4620,31.74
-6.4753,31.94
-6.4993,32.15
-6.5273,32.35
-6.5435,32.55
-6.5512,32.75
-6.4703,32.95
-6.4978,33.15
-6.5339,33.35
-6.5608,33.55
-6.5975,33.76
-6.6115,33.96
-6.6293,34.16
-6.6424,34.36
-6.6607,34.56
-6.6770,34.76
-6.6945,34.96
-6.7076,35.16
