Force (g),Time (s)
-0.0161,6.20
-0.0099,6.40
-0.0129,6.60
-0.0095,6.80
-0.0113,7.01
-0.0129,7.21
-0.0135,7.41
-0.0102,7.61
-0.0121,7.81
-0.0127,8.01
-0.0118,8.21
-0.0150,8.41
-0.0193,8.61
-0.0119,8.81
-0.0160,9.02
-0.0192,9.22
-0.0149,9.42
-0.0155,9.62
-0.0142,9.82
-0.0219,10.02
-0.0169,10.22
-0.0242,10.42
-0.0204,10.62
-0.0221,10.82
-0.0218,11.03
0.9182,11.23
2.5717,11.43
4.3186,11.63
6.0815,11.83
8.5427,12.03
10.3134,12.23
12.2861,12.43
14.1978,12.64
16.9548,12.84
18.7027,13.04
20.4205,13.24
22.1077,13.44
24.4291,13.64
25.9815,13.84
27.4109,14.04
28.7087,14.24
30.8150,14.44
32.2186,14.65
33.6325,14.85
35.0459,15.05
37.1129,15.25
38.3586,15.45
39.4129,15.65
40.4100,15.85
42.0865,16.05
43.3197,16.26
44.5520,16.46
45.7101,16.66
46.9201,16.86
47.4040,17.06
48.0523,17.26
48.9412,17.46
50.6202,17.66
51.5595,17.86
52.2699,18.07
52.6010,18.27
53.0043,18.47
53.2958,18.67
53.5317,18.87
53.9258,19.07
54.7537,19.27
55.4277,19.47
56.0145,19.67
56.7919,19.88
57.8507,20.08
58.2667,20.28
58.4329,20.48
58.6074,20.68
59.2843,20.88
58.1503,21.08
55.1148,21.28
52.3272,21.48
48.4765,21.69
46.0500,21.89
43.7211,22.09
41.5633,22.29
38.7514,22.49
37.0038,22.69
35.0292,22.89
32.7403,23.09
29.2397,23.30
27.1156,23.50
24.9510,23.70
22.9404,23.90
20.1243,24.10
18.3563,24.30
16.6505,24.50
15.1137,24.70
13.0189,24.90
11.6985,25.11
10.4953,25.31
9.2959,25.51
7.6094,25.71
6.7000,25.91
5.8895,26.11
5.0651,26.31
3.9560,26.51
3.1794,26.71
2.3788,26.92
1.4449,27.12
0.2342,27.32
-0.5051,27.52
-1.0335,27.72
-1.4248,27.92
-1.8025,28.12
-1.9790,28.32
-2.1235,28.52
-2.2257,28.73
-2.3731,28.93
-2.4789,29.13
-2.5468,29.33
-2.5961,29.53
-2.6641,29.73
-2.7239,29.93
-2.7721,30.13
-2.8121,30.34
-2.8832,30.54
-2.9154,30.74
-2.9509,30.94
-3.0242,31.14
-3.0885,31.34
-3.1568,31.54
-3.1922,31.74
-3.2343,31.94
-3.3014,32.15
-3.3477,32.35
-3.3915,32.55
-3.4054,32.75
-3.4530,32.95
-3.4766,33.15
-3.4715,33.35
-3.4971,33.55
-3.5185,33.76
-3.5428,33.96
-3.5625,34.16
-3.5910,34.36
-3.6314,34.56
-3.6642,34.76
