Time (s),Force (g),Ambient temperature (c)
6.19,-0.0013,8.0000
6.39,0.0020,8.0703
6.59,-0.0012,8.0078
6.80,0.0023,8.0469
7.00,0.0031,8.0469
7.20,0.0008,8.0312
7.40,0.0006,8.0469
7.60,0.0016,8.0234
7.80,0.0020,8.0469
8.00,0.0059,8.0469
8.20,0.0035,8.1328
8.41,0.0035,8.0234
8.61,0.0054,8.0469
8.81,0.0064,8.1172
9.01,0.0016,8.1094
9.21,0.0008,8.0078
9.41,0.0016,8.0625
9.61,0.0037,8.0078
9.81,0.0043,8.0625
10.02,0.0035,8.0625
10.22,0.0129,8.1172
10.42,0.8388,8.0469
10.62,4.6099,8.0703
10.82,6.0965,8.1172
11.02,7.3208,8.0859
11.22,9.0292,8.0078
11.42,9.9931,8.0078
11.62,10.8551,8.0703
11.82,10.1018,8.0703
12.03,10.7166,8.0000
12.23,11.3108,8.0469
12.43,12.2051,8.0234
12.63,12.9721,8.0078
12.83,13.7771,8.0312
13.03,14.5631,8.0078
13.23,15.2896,8.0078
13.43,15.6191,7.9844
13.64,16.1474,7.9844
13.84,16.7769,7.9844
14.04,17.4160,8.0234
14.24,18.0027,8.1172
14.44,18.4454,8.0078
14.64,18.8094,8.0625
14.84,19.1360,8.0859
15.04,19.7752,8.0469
15.24,19.8254,8.0234
15.45,20.2521,8.0703
15.65,20.6859,8.0469
15.85,21.3607,7.9844
16.05,21.6029,8.0312
16.25,21.8367,8.0312
16.45,22.1000,8.0312
16.65,22.7312,8.0078
16.85,23.1304,8.1094
17.05,23.4508,8.0078
17.26,23.8839,8.0859
17.46,24.2750,8.0312
17.66,24.6022,8.0234
17.86,24.9855,8.0000
18.06,25.5265,8.0625
18.26,25.8579,8.0937
18.46,26.1733,7.9844
18.66,26.4989,7.9844
18.86,26.9510,8.0078
19.07,27.2603,8.0078
19.27,27.5686,8.0469
19.47,27.7841,8.0234
19.67,28.1916,8.0078
19.87,28.4678,8.0234
20.07,28.7333,8.0078
20.27,29.1014,8.0469
20.47,29.3375,8.0078
20.67,29.0926,8.0234
20.88,25.2226,8.0703
21.08,21.1622,8.0078
21.28,19.4202,8.0625
21.48,17.9100,8.0859
21.68,16.6729,8.1172
21.88,15.1271,8.0312
22.08,14.0295,8.0234
22.28,13.1648,8.1172
22.49,12.3556,8.0859
22.69,11.5220,7.9766
22.89,10.8925,8.0625
23.09,10.1189,8.0703
23.29,9.1192,8.0937
23.49,8.5828,8.0625
23.69,8.1657,7.9766
23.89,7.7477,8.0625
24.09,7.1448,8.1172
24.30,6.7756,8.0312
24.50,6.4704,7.9766
24.70,6.2134,8.0000
24.90,5.9738,8.1094
25.10,5.6342,8.0859
25.30,5.3349,8.0859
25.50,5.0724,8.0312
25.70,4.7453,8.0625
25.90,4.5586,8.0625
26.11,4.3628,8.0937
26.31,4.1124,8.0469
26.51,3.9607,8.0859
26.71,3.8059,8.0469
26.91,3.6561,8.0469
27.11,3.4223,8.0078
27.31,3.2855,8.1094
27.51,3.2116,8.1172
27.71,3.1072,8.0234
27.92,2.9132,8.0469
28.12,2.7871,7.9844
28.32,2.6693,8.0234
28.52,2.5563,8.0234
28.72,2.4106,8.0312
28.92,2.3178,8.0937
29.12,2.2375,8.0703
29.32,2.1853,8.0000
29.53,2.1654,8.0625
29.73,2.0777,8.0234
29.93,1.9873,8.0625
30.13,1.8598,8.0234
30.33,1.7815,8.0859
30.53,1.7056,8.0234
