Force (g),Time (s)
0.0166,6.20
0.0157,6.40
0.0213,6.60
0.0215,6.80
0.0182,7.01
0.0187,7.21
0.0228,7.41
0.0253,7.61
0.0248,7.81
0.0199,8.01
0.0210,8.21
0.0208,8.41
0.0191,8.61
0.0270,8.81
0.0260,9.02
0.0257,9.22
0.0212,9.42
0.0208,9.62
0.0253,9.82
0.0229,10.02
0.0216,10.22
0.0748,10.42
0.9329,10.62
2.3083,10.82
3.7753,11.03
5.7379,11.23
7.1398,11.43
8.2602,11.63
9.5670,11.83
11.4728,12.03
12.7186,12.23
13.8431,12.43
14.9059,12.64
16.4177,12.84
17.3117,13.04
18.0938,13.24
18.7995,13.44
19.9654,13.64
20.7519,13.84
21.3835,14.04
21.9425,14.24
22.7716,14.44
23.4085,14.65
24.0108,14.85
24.5679,15.05
25.2244,15.25
25.7555,15.45
26.2672,15.65
26.8046,15.85
27.3617,16.05
27.4314,16.26
27.5277,16.46
27.8223,16.66
28.4236,16.86
28.9015,17.06
29.2696,17.26
29.6710,17.46
30.3910,17.66
30.6604,17.86
30.9101,18.07
31.0381,18.27
31.0920,18.47
31.1474,18.67
31.3976,18.87
31.6166,19.07
31.8120,19.27
31.9017,19.47
32.1031,19.67
32.2764,19.88
32.5439,20.08
32.4558,20.28
32.3208,20.48
32.2919,20.68
32.3369,20.88
32.4474,21.08
32.4188,21.28
32.3215,21.48
30.2457,21.69
28.3878,21.89
26.7324,22.09
25.0912,22.29
22.6346,22.49
21.0738,22.69
19.5896,22.89
18.2386,23.09
16.4385,23.30
15.2862,23.50
14.1398,23.70
12.9643,23.90
11.1152,24.10
9.8978,24.30
8.7667,24.50
7.6909,24.70
6.2366,24.90
5.4167,25.11
4.6649,25.31
3.8597,25.51
2.7594,25.71
2.1965,25.91
1.7136,26.11
1.2524,26.31
0.6896,26.51
0.3351,26.71
0.0012,26.92
-0.2822,27.12
-0.6137,27.32
-0.7791,27.52
-0.9681,27.72
-1.1073,27.92
-1.3343,28.12
-1.4698,28.32
-1.5764,28.52
-1.6906,28.73
-1.8488,28.93
-1.9437,29.13
-2.0217,29.33
-2.0874,29.53
-2.2048,29.73
-2.2648,29.93
-2.3377,30.13
-2.4100,30.34
-2.4830,30.54
-2.5367,30.74
-2.5795,30.94
-2.6284,31.14
-2.6907,31.34
-2.7238,31.54
-2.7469,31.74
-2.7951,31.94
-2.8174,32.15
-2.8322,32.35
-2.8530,32.55
-2.8680,32.75
-2.9005,32.95
-2.9179,33.15
-2.9523,33.35
-2.9785,33.55
-2.9990,33.76
-3.0009,33.96
-3.0065,34.16
-3.0263,34.36
-3.0615,34.56
