Force (g),Time (s)
0.0161,6.20
0.0181,6.40
0.0166,6.60
0.0137,6.80
0.0145,7.01
0.0121,7.21
0.0166,7.41
0.0179,7.61
0.0181,7.81
0.0131,8.01
0.0184,8.21
0.0221,8.41
0.0210,8.61
0.0218,8.81
0.0210,9.02
0.0208,9.22
0.0193,9.42
0.0222,9.62
0.0261,9.82
0.0229,10.02
0.0254,10.22
0.0243,10.42
0.0237,10.62
0.3907,10.82
2.3991,11.03
6.0369,11.23
8.2343,11.43
10.1403,11.63
11.7056,11.83
13.3038,12.03
13.9158,12.23
14.3790,12.43
14.8622,12.64
15.8065,12.84
16.4701,13.04
17.1510,13.24
17.8732,13.44
18.9218,13.64
19.5346,13.84
20.0702,14.04
20.5777,14.24
21.3816,14.44
22.0036,14.65
22.6544,14.85
23.2006,15.05
23.9278,15.25
24.3696,15.45
24.7748,15.65
25.1482,15.85
25.6541,16.05
25.8131,16.26
26.1307,16.46
26.5836,16.66
27.0645,16.86
27.2756,17.06
27.2503,17.26
27.2174,17.46
27.2607,17.66
27.2860,17.86
27.3607,18.07
27.4955,18.27
27.5145,18.47
27.8172,18.67
28.0499,18.87
28.2442,19.07
28.8354,19.27
29.2813,19.47
29.8622,19.67
30.2581,19.88
30.5603,20.08
30.7879,20.28
30.8761,20.48
30.9602,20.68
30.8855,20.88
29.1850,21.08
27.0435,21.28
25.0507,21.48
22.6884,21.69
21.4567,21.89
20.1145,22.09
18.6246,22.29
16.4607,22.49
15.0213,22.69
13.5106,22.89
11.9059,23.09
9.7214,23.30
8.3955,23.50
7.0947,23.70
5.8052,23.90
3.8799,24.10
2.8125,24.30
1.7320,24.50
0.7695,24.70
-0.2946,24.90
-1.0915,25.11
-1.8178,25.31
-2.4867,25.51
-3.4591,25.71
-3.9565,25.91
-4.3939,26.11
-4.7798,26.31
-5.2657,26.51
-5.5372,26.71
-5.7774,26.92
-5.9823,27.12
-6.2131,27.32
-6.2781,27.52
-6.4145,27.72
-6.5184,27.92
-6.6698,28.12
-6.7887,28.32
-6.9073,28.52
-7.0093,28.73
-7.1277,28.93
-7.2066,29.13
-7.2618,29.33
-7.2639,29.53
-7.3283,29.73
-7.3396,29.93
-7.3912,30.13
-7.4478,30.34
-7.4890,30.54
-7.4841,30.74
-7.5270,30.94
-7.5672,31.14
-7.6155,31.34
-7.6453,31.54
-7.6714,31.74
-7.7038,31.94
-7.7488,32.15
-7.7696,32.35
-7.7858,32.55
-7.8043,32.75
-7.8334,32.95
-7.8422,33.15
-7.8482,33.35
-7.8474,33.55
-7.8623,33.76
-7.8771,33.96
-7.8873,34.16
-7.9002,34.36
-7.9159,34.56
-7.9187,34.76
-7.9323,34.96
-7.9399,35.16
-7.9550,35.36
-7.9675,35.56
