Time (s),Force (g),Ambient temperature (c)
6.20,0.0150,18.1250
6.40,0.0155,18.0469
6.60,0.0184,18.1094
6.80,0.0197,18.0859
7.00,0.0199,18.0234
7.20,0.0221,18.1250
7.40,0.0197,18.1094
7.60,0.0221,18.1094
7.80,0.0208,18.1094
8.00,0.0206,18.1094
8.21,0.0235,18.0625
8.41,0.0176,18.1094
8.61,0.0239,18.0859
8.81,0.0251,18.0000
9.01,0.0247,18.0234
9.21,0.0289,18.1094
9.41,0.0267,18.0937
9.61,0.0261,18.0625
9.81,0.0261,18.0469
10.02,0.0273,18.0703
10.22,0.0268,18.0937
10.42,0.1061,18.0234
10.62,1.6471,18.0937
10.82,3.9585,18.0937
11.02,5.3207,18.1094
11.22,6.7598,18.0625
11.42,7.4909,18.0391
11.62,8.0585,18.1562
11.82,8.6020,18.0937
12.03,9.3276,18.1094
12.23,9.7634,18.0000
12.43,10.1602,18.0703
12.63,10.5261,18.0937
12.83,11.0192,18.1328
13.03,11.3192,18.0937
13.23,11.5972,18.1484
13.43,11.9561,18.0937
13.64,12.1157,17.9844
13.84,12.3372,18.1094
14.04,12.5426,18.0469
14.24,12.8179,18.1094
14.44,12.9840,18.0625
14.64,13.1349,18.0859
14.84,13.2774,18.0703
15.04,13.4541,18.0391
15.24,13.5616,18.1484
15.45,13.6513,18.0703
15.65,13.7358,18.1094
15.85,13.8362,18.0859
16.05,13.8913,18.1250
16.25,13.9341,18.0234
16.45,13.9839,18.1094
16.65,14.0054,18.0703
16.85,14.0114,18.1250
17.05,14.0136,18.1094
17.26,14.0080,18.0859
17.46,13.9931,18.1484
17.66,13.9784,18.0937
17.86,13.9534,18.1328
18.06,13.9236,18.0703
18.26,13.9027,18.1328
18.46,13.8885,18.0859
18.66,13.8693,18.1328
18.86,13.8493,18.1484
19.07,13.8388,18.0469
19.27,13.8304,18.1250
19.47,13.8142,18.0703
19.67,13.8048,18.1328
19.87,13.7928,18.1562
20.07,13.7881,18.0625
20.27,13.7239,18.1719
20.47,11.4443,18.0234
20.67,9.4335,18.0625
20.88,8.0769,18.0625
21.08,6.5745,18.1094
21.28,5.7938,18.0859
21.48,5.1434,18.0703
21.68,4.5848,18.0703
21.88,3.9383,18.0469
22.08,3.5513,18.0469
22.28,3.2063,18.1562
22.49,2.7597,18.0859
22.69,2.4988,18.0625
22.89,2.2686,18.0937
23.09,2.0577,18.0078
23.29,1.7779,18.0937
23.49,1.6155,18.0937
23.69,1.4686,18.1484
23.89,1.3252,18.1484
24.09,1.1478,18.0859
24.30,1.0365,18.0859
24.50,0.9348,18.1328
24.70,0.8006,18.1719
24.90,0.7168,18.0625
25.10,0.6398,18.1250
25.30,0.5771,18.1250
25.50,0.4850,18.1719
25.70,0.4236,18.1797
25.90,0.3711,17.9766
26.11,0.3189,18.1484
26.31,0.2490,18.2031
26.51,0.2085,18.0625
26.71,0.1714,18.0625
26.91,0.1309,18.1094
27.11,0.0811,18.1484
27.31,0.0508,18.1094
27.51,0.0213,18.1328
27.71,-0.0182,18.0469
27.92,-0.0413,18.1250
28.12,-0.0635,18.1094
28.32,-0.0844,18.0234
28.52,-0.1171,18.0625
28.72,-0.1355,18.0937
28.92,-0.1510,18.1250
29.12,-0.1701,18.0469
29.32,-0.1931,18.0703
29.53,-0.2091,18.1328
29.73,-0.2189,18.2031
29.93,-0.2357,18.0859
30.13,-0.2516,18.1094
