Time (s),Force (g),Ambient temperature (c)
6.19,0.0265,6.9688
6.40,0.0224,6.9688
6.60,0.0204,6.9609
6.80,0.0235,6.9688
7.00,0.0259,7.0469
7.20,0.0189,7.0313
7.40,0.0214,7.0156
7.60,0.0253,6.9688
7.80,0.0238,6.9609
8.00,0.0297,7.0078
8.20,0.0264,6.9844
8.41,0.0279,7.0313
8.61,0.0286,7.0000
8.81,0.0298,7.0078
9.01,0.0310,7.0156
9.21,0.0278,6.9688
9.41,0.0334,6.9688
9.61,0.0304,6.9609
9.81,0.0320,6.9688
10.02,0.0297,7.0000
10.22,0.0332,6.9453
10.42,0.0469,6.9609
10.62,0.6985,7.0000
10.82,3.2351,6.9609
11.02,5.1792,6.9609
11.22,6.8649,6.9688
11.42,7.7469,6.9688
11.62,8.5202,6.9453
11.82,9.2330,7.0078
12.03,10.2076,6.9688
12.23,10.7863,6.9453
12.43,11.3052,6.9453
12.63,11.7840,7.0078
12.83,12.1868,6.9609
13.03,12.5495,7.0469
13.23,12.9461,7.0469
13.43,13.4860,7.0078
13.64,13.8102,7.0000
13.84,14.1107,6.9141
14.04,14.3939,7.0078
14.24,14.7774,6.9844
14.44,15.0084,6.9609
14.64,15.2201,7.0469
14.84,15.4099,7.0313
15.04,15.6691,7.0313
15.24,15.8083,7.0156
15.45,15.9382,6.9688
15.65,16.1014,6.9688
15.85,16.1844,7.0313
16.05,16.2501,7.0313
16.25,16.2992,7.0469
16.45,16.3486,6.9609
16.65,16.3675,6.9453
16.85,16.3679,7.0313
17.05,16.3492,7.0469
17.26,16.3064,7.0000
17.46,16.2703,7.0000
17.66,16.2257,6.9844
17.86,16.1741,6.9688
18.06,16.1143,6.9609
18.26,16.0814,6.9844
18.46,16.0465,6.9609
18.66,16.0091,6.9844
18.86,15.9868,7.0000
19.07,15.9623,6.9688
19.27,15.9351,6.9609
19.47,15.9043,6.9219
19.67,15.8871,7.0078
19.87,15.8687,7.0000
20.07,15.8521,6.9141
20.27,15.8380,7.0000
20.47,15.8214,7.0703
20.67,15.1816,7.0156
20.88,10.5613,6.8750
21.08,7.4374,6.9219
21.28,6.1278,7.0000
21.48,5.1072,6.9609
21.68,4.0132,6.9844
21.88,3.4497,6.9141
22.08,2.9731,7.0469
22.28,2.5680,7.0313
22.49,2.0692,7.0469
22.69,1.7912,6.8984
22.89,1.5505,7.0078
23.09,1.3401,6.9688
23.29,1.0628,6.9688
23.49,0.9066,6.9375
23.69,0.7689,7.0078
23.89,0.5865,7.0000
24.09,0.4811,7.0078
24.30,0.3845,6.9844
24.50,0.2961,6.9688
24.70,0.1814,7.0156
24.90,0.1114,7.0000
25.10,0.0556,7.0078
25.30,-0.0030,6.9609
25.50,-0.0807,6.9609
25.70,-0.1234,6.9844
25.90,-0.1653,7.0469
26.11,-0.2056,6.9844
26.31,-0.2585,6.9453
26.51,-0.2911,6.9688
26.71,-0.3227,7.0469
26.91,-0.3600,6.9609
27.11,-0.3840,7.0078
27.31,-0.4103,7.0469
27.51,-0.4322,6.9844
27.71,-0.4591,6.9219
27.92,-0.4758,7.0469
28.12,-0.4951,7.0000
28.32,-0.5129,6.9609
28.52,-0.5281,6.9609
28.72,-0.5467,6.9609
28.92,-0.5590,6.9375
29.12,-0.5691,6.9453
29.32,-0.5883,7.0078
29.53,-0.5980,6.9688
29.73,-0.6040,7.0156
29.93,-0.6204,6.9844
30.13,-0.6274,6.9688
30.33,-0.6379,7.0156
30.53,-0.6434,7.0156
30.73,-0.6543,7.0156
30.93,-0.6598,6.9453
