Time (s),Force (g),Ambient temperature (c)
6.19,0.0079,3.2734
6.40,0.0106,3.3594
6.60,0.0076,3.3828
6.80,0.0099,3.3281
7.00,0.0147,3.3281
7.20,0.0069,3.3047
7.40,0.0105,3.3281
7.60,0.0114,3.3281
7.80,0.0095,3.3203
8.00,0.0144,3.3203
8.20,0.0128,3.3594
8.41,0.0128,3.3281
8.61,0.0095,3.3203
8.81,0.0145,3.3828
9.01,0.0142,3.4141
9.21,0.0119,3.3203
9.41,0.0132,3.3594
9.61,0.0154,3.4141
9.81,0.0132,3.3281
10.02,0.0148,3.3906
10.22,0.0111,3.4063
10.42,0.0181,3.3203
10.62,0.0154,3.3594
10.82,0.0157,3.3281
11.02,0.0731,3.4141
11.22,2.6213,3.3281
11.42,4.2637,3.4141
11.62,5.3659,3.2813
11.82,6.2264,3.2813
12.03,7.2543,3.2734
12.23,7.8148,3.2578
12.43,8.3174,3.4063
12.63,8.9803,3.3203
12.83,9.3827,3.3281
13.03,9.7559,3.4063
13.23,10.1022,3.3594
13.43,10.5819,3.3828
13.64,10.8875,3.3203
13.84,11.1694,3.3047
14.04,11.4376,3.2578
14.24,11.8178,3.4063
14.44,12.0495,3.3906
14.64,12.2773,3.2813
14.84,12.5793,3.4141
15.04,12.7639,3.3828
15.24,12.9486,3.2969
15.45,13.1145,3.3594
15.65,13.3466,3.2969
15.85,13.4947,3.2969
16.05,13.6329,3.4063
16.25,13.7578,3.3594
16.45,13.9413,3.2969
16.65,14.0498,3.4063
16.85,14.1544,3.3047
17.05,14.2945,3.3594
17.26,14.3800,3.3828
17.46,14.4594,3.3594
17.66,14.5343,3.3203
17.86,14.6351,3.3906
18.06,14.6917,3.3594
18.26,14.7446,3.2969
18.46,14.7954,3.3828
18.66,14.8588,3.3672
18.86,14.8942,3.3281
19.07,14.9249,3.3438
19.27,14.9480,3.3281
19.47,14.9811,3.3828
19.67,14.9928,3.3438
19.87,15.0045,3.2969
20.07,15.0141,3.2969
20.27,15.0129,3.2969
20.47,15.0098,3.3828
20.67,15.0022,3.3281
20.88,14.9773,3.3203
21.08,14.9514,3.2969
21.28,14.9230,3.3281
21.48,14.8972,3.3281
21.68,14.8503,3.3672
21.88,14.8188,3.3281
22.08,14.7808,3.3281
22.28,14.7250,3.3906
22.49,14.6839,3.3672
22.69,14.6426,3.4063
22.89,14.6068,3.3281
23.09,14.5587,3.3438
23.29,14.5290,3.3203
23.49,14.4972,3.2734
23.69,14.4646,3.3906
23.89,14.4283,3.3594
24.09,14.4012,3.3281
24.30,14.3786,3.2734
24.50,14.3552,3.3281
24.70,14.3217,3.2813
24.90,14.3024,3.3906
25.10,14.2829,3.3594
25.30,14.2531,3.2813
25.50,14.2335,3.3594
25.70,13.2251,3.3047
25.90,10.6268,3.3203
26.11,8.5260,3.3594
26.31,7.5125,3.3906
26.51,6.6843,3.3203
26.71,6.0030,3.3906
26.91,5.1547,3.3203
27.11,4.6812,3.2578
27.31,4.2609,3.2344
27.51,3.7213,3.3672
27.71,3.4080,3.3828
27.92,3.1223,3.3281
28.12,2.8651,3.2734
28.32,2.5224,3.3047
28.52,2.3223,3.3281
28.72,2.1295,3.3203
28.92,1.9651,3.2578
29.12,1.7285,3.3828
29.32,1.5876,3.2344
29.53,1.4605,3.3828
29.73,1.3396,3.3203
29.93,1.1776,3.3203
30.13,1.0797,3.3438
30.33,0.9860,3.3047
30.53,0.8523,3.3594
30.73,0.7719,3.1563
30.93,0.6992,3.3281
31.13,0.6273,3.3594
31.34,0.5336,3.2734
31.54,0.4744,3.3047
31.74,0.4147,3.3047
31.94,0.3657,3.2734
32.14,0.2899,3.3203
32.34,0.2419,3.3594
32.54,0.1988,3.2969
32.74,0.1393,3.2422
32.95,0.0980,3.3203
33.15,0.0585,3.3203
33.35,0.0254,3.3281
33.55,-0.0223,3.3594
33.75,-0.0526,3.3828
33.95,-0.0849,3.3906
34.15,-0.1123,3.2734
34.35,-0.1497,3.3281
34.55,-0.1760,3.3594
34.76,-0.1975,3.3203
34.96,-0.2210,3.3203
35.16,-0.2524,3.2344
35.36,-0.2748,3.3281
35.56,-0.2920,3.3438
35.76,-0.3192,3.2578
35.96,-0.3370,3.3281
36.16,-0.3495,3.3281
36.36,-0.3690,3.3594
36.57,-0.3918,3.2969
36.77,-0.4066,3.3828
36.97,-0.4143,3.2734
37.17,-0.4312,3.2734
