Linear displacement (mm),Time (s)
0.0000,5.00
0.0000,5.20
0.0000,5.40
0.0000,5.60
0.0000,5.80
0.0000,6.01
-0.0089,6.21
-0.0089,6.41
-0.0089,6.61
-0.0089,6.81
-0.0089,7.01
-0.0089,7.21
-0.0089,7.41
-0.0089,7.61
-0.0089,7.81
-0.0089,8.02
-0.0089,8.22
-0.0089,8.42
-0.0089,8.62
-0.0089,8.82
-0.0089,9.02
-0.0089,9.22
-0.0089,9.42
-0.0089,9.62
-0.0089,9.82
-0.0089,10.03
-0.0089,10.23
-0.0089,10.43
-0.0089,10.63
-0.0089,10.83
-0.0089,11.03
-0.0089,11.23
-0.0089,11.44
-0.0089,11.64
-0.0089,11.84
-0.0089,12.04
-0.0089,12.24
-0.0089,12.44
-0.0089,12.64
-0.0089,12.84
-0.0089,13.04
-0.0089,13.25
-0.0089,13.45
-0.0089,13.65
-0.0089,13.85
-0.0089,14.05
-0.0089,14.25
-0.0089,14.45
-0.0089,14.65
-0.0089,14.85
-0.0089,15.06
-0.0089,15.26
-0.0178,15.46
0.0000,15.66
0.0534,15.86
0.6406,16.06
0.9876,16.26
1.3790,16.46
1.6371,16.66
2.0196,16.86
2.3666,17.07
2.6157,17.27
2.6513,17.47
3.3364,17.67
3.3987,17.87
3.7813,18.07
3.9147,18.27
4.2439,18.47
4.3596,18.68
4.4396,18.88
4.8756,19.08
4.9913,19.28
5.0180,19.48
5.0446,19.68
5.1158,19.88
5.9699,20.08
6.1212,20.28
6.3881,20.49
6.5483,20.69
6.8419,20.89
7.0821,21.09
7.2066,21.29
7.5892,21.49
7.6693,21.69
7.6960,21.89
7.7316,22.09
7.7583,22.30
7.7672,22.50
7.7850,22.70
7.8027,22.90
7.8205,23.10
7.8294,23.30
7.8472,23.50
7.8650,23.70
7.8828,23.90
9.1284,24.11
9.6267,24.31
9.7245,24.51
9.7868,24.71
9.8758,24.91
10.3651,25.11
10.4363,25.31
10.4630,25.51
10.4897,25.72
10.5075,25.92
10.5253,26.12
10.5253,26.32
10.5342,26.52
10.5519,26.72
10.5608,26.92
10.5875,27.12
10.9167,27.32
12.2335,27.53
12.2335,27.73
12.2424,27.93
12.8207,28.13
12.8118,28.33
12.8118,28.53
12.8207,28.73
12.8296,28.93
12.8474,29.13
12.8563,29.34
12.8741,29.54
12.8830,29.74
12.8830,29.94
12.8830,30.14
12.8741,30.34
12.8296,30.54
12.8207,30.74
12.8118,30.94
12.8029,31.15
12.7851,31.35
10.9167,31.55
10.8189,31.75
10.8011,31.95
10.7833,32.15
10.7744,32.35
10.7566,32.56
10.7388,32.76
8.8704,32.96
8.4433,33.16
8.2298,33.36
8.1675,33.56
8.1319,33.76
8.1141,33.96
6.4682,34.16
6.4504,34.37
6.4059,34.57
6.2902,34.77
5.9611,34.97
5.8009,35.17
5.7386,35.37
5.6852,35.57
4.5286,35.77
4.1105,35.97
4.1105,36.18
4.1016,36.38
4.0927,36.58
4.0838,36.78
4.0660,36.98
4.0571,37.18
4.0482,37.38
4.0304,37.58
3.9770,37.78
2.9983,37.99
3.0161,38.19
3.0161,38.39
3.0072,38.59
3.0072,38.79
2.9983,38.99
2.9805,39.19
2.9627,39.39
2.9360,39.60
2.9182,39.80
2.9005,40.00
2.8916,40.20
2.8916,40.40
2.8827,40.60
2.8738,40.80
2.8738,41.00
2.8649,41.20
2.8649,41.40
2.8649,41.61
2.8560,41.81
2.8560,42.01
2.8560,42.21
2.8471,42.41
2.8471,42.61
2.8471,42.81
2.8382,43.01
2.8382,43.22
2.8382,43.42
2.8382,43.62
2.8382,43.82
2.8293,44.02
2.8293,44.22
2.8293,44.42
2.8293,44.62
2.8293,44.82
2.8293,45.03
2.8293,45.23
2.8204,45.43
2.8204,45.63
2.8204,45.83
2.8204,46.03
2.8204,46.23
2.8204,46.43
2.8204,46.63
2.8204,46.84
2.8204,47.04
