Time (s),Force (g),Ambient temperature (c)
51.05,14.4446,8.5859
51.25,16.8011,8.5859
51.45,18.1662,8.6484
51.65,17.1163,8.6250
51.85,15.2354,8.6562
52.05,13.5581,8.5625
52.26,12.7089,8.5625
52.46,12.0231,8.6094
52.66,11.4782,8.6094
52.86,10.7169,8.6328
53.06,10.2218,8.6328
53.26,9.8107,8.6094
53.46,9.2560,8.5625
53.66,8.9200,8.6094
53.86,8.6068,8.5859
54.06,8.3147,8.5625
54.27,7.9053,8.6094
54.47,7.6523,8.6328
54.67,7.4129,8.6562
54.87,7.1916,8.6328
55.07,6.8841,8.6328
55.27,6.8312,8.5391
55.47,8.5560,8.5859
55.67,11.1086,8.6484
55.88,13.9298,8.6250
56.08,15.5516,8.6016
56.28,17.0122,8.6250
56.48,19.0018,8.6328
56.68,19.2940,8.5859
56.88,16.9730,8.6094
57.08,15.4736,8.5703
57.28,13.8809,8.6094
57.48,13.0396,8.5391
57.69,12.3499,8.5469
57.89,11.7883,8.5703
58.09,10.9641,8.5859
58.29,10.4779,8.6016
58.49,10.0581,8.6250
58.69,9.6668,8.5625
58.89,9.1302,8.6094
59.09,8.8090,8.6094
59.29,8.5008,8.6328
59.50,8.0835,8.5625
59.70,7.8247,8.5703
59.90,7.5902,8.5859
60.10,8.2461,8.5625
60.30,11.9862,8.5625
60.50,13.9092,8.6094
60.70,15.5975,8.5703
60.90,17.1170,8.5859
61.11,17.7850,8.6016
61.31,15.6427,8.6875
61.51,14.3317,8.6250
61.71,13.3520,8.6094
61.91,12.2171,8.5859
62.11,11.6450,8.5391
62.31,11.0702,8.5625
62.51,10.3370,8.6719
62.71,9.9171,8.6328
62.92,9.5260,8.6328
63.12,9.1660,8.5469
63.32,8.6737,8.6562
63.52,8.3720,8.6016
63.72,8.0931,8.6875
63.92,7.8273,8.6016
64.12,7.4542,8.6016
64.32,7.2174,8.6094
64.52,6.9929,8.6719
64.73,6.7637,8.5859
64.93,6.4744,8.6016
65.13,6.3025,8.5859
65.33,6.1458,8.6328
65.53,5.9095,8.5469
65.73,5.7627,8.6094
65.93,5.6215,8.6484
66.13,5.4842,8.6328
66.33,5.2895,8.5859
66.54,5.1653,8.5859
66.74,5.0480,8.6094
66.94,4.9332,8.5859
67.14,4.7709,8.6016
67.34,4.6473,8.6328
67.54,4.5472,8.6016
67.74,4.4528,8.6328
67.94,4.3114,8.5703
