t (sec),1W force (mN),1W st dev,2W force (mN),2W st dev,3W force (mN),3W st dev,4W force (mN),4W st dev
0.0,0.341715,0.2668324007349932,-0.47872800000000004,0.5271801874520703,0.286125,0.6107890838513734,0.151728,0.5540906690443361
0.2,0.38160900000000003,0.2872538195777386,-0.49507799999999996,0.5315115175403069,0.26094599999999996,0.6347704257335876,0.242961,0.5559840518809871
0.4,0.37964700000000007,0.27700470903217517,-0.5133899999999999,0.5214673008808893,0.27827700000000005,0.637670290446403,0.41136600000000006,0.43202430164980304
0.6000000000000001,0.37899299999999997,0.2772157808495036,-0.518622,0.5497932987641809,0.30443699999999996,0.6252771865452953,0.4702260000000001,0.43131014896707454
0.8,0.39272700000000005,0.27722619522332304,-0.5307210000000001,0.5676727534557212,0.28318200000000004,0.6561153753891157,0.384552,0.4560338295280297
1.0,0.376704,0.24673271395986385,-0.5666910000000001,0.6244265144082208,0.30639900000000003,0.6329157436294345,0.42052200000000006,0.4163266094042033
1.2000000000000002,0.411039,0.28114508420742484,-0.544455,0.6009781400966261,0.31882499999999997,0.647864659908225,0.524835,0.4249651539973601
1.4000000000000001,0.42935100000000004,0.3125069729430049,-0.527124,0.597484213376387,0.27958500000000003,0.636805781146811,0.44308499999999995,0.4796854830636424
1.6,0.4015560000000001,0.298452310632704,-0.543474,0.6111249450431556,0.315228,0.6344779238854572,0.59514,0.43933785604930514
1.8,0.430005,0.2678415460976882,-0.58206,0.578624998514582,0.301494,0.6184120739620145,0.8191350000000002,0.5933112005903817
2.0,0.44472,0.29446381773997293,-0.5781360000000001,0.588514065393513,0.31686299999999995,0.6166696361651026,0.9250830000000002,0.7372644134216706
2.2,0.47022600000000003,0.28735579679902057,-0.573231,0.6380419441572788,0.309996,0.6090933069062572,0.8655690000000001,0.6328762088765859
2.4000000000000004,0.468264,0.2961648946819998,-0.581079,0.627910164829333,0.33157800000000004,0.6164131278501457,0.683757,0.48345155724229505
2.6,0.435564,0.2879609605102747,-0.5470710000000001,0.6319474454161518,0.335829,0.6294817098343686,0.9234479999999999,0.6485532058744294
2.8000000000000003,0.4976940000000001,0.28595696608755666,-0.569961,0.628918174238907,0.359046,0.6500208945457061,0.9476460000000001,0.7342232880044054
3.0,0.47611200000000004,0.3140020798943854,-0.564729,0.6465717012443399,0.3371370000000001,0.6672782543632004,0.8930370000000001,0.6712799491061833
3.2,0.515352,0.29541658515052943,-0.577482,0.647472055948363,0.35217899999999996,0.6266601586043268,0.798207,0.5868535908197204
3.4000000000000004,0.49965600000000004,0.29242065274532164,-0.5617860000000001,0.6310290072381777,0.36264300000000005,0.657684882491608,0.8103060000000001,0.5857728352783185
3.6,0.48886500000000005,0.31881376441741033,-0.577482,0.6464694893078868,0.3767040000000001,0.6258754372988288,1.014354,0.8004410973819374
3.8000000000000003,0.518622,0.3073232915774527,-0.5879460000000001,0.6664917818368056,0.37408800000000003,0.6003743153550125,0.8403899999999999,0.620662367012855
4.0,0.5003099999999999,0.3274140468672656,-0.574539,0.6658643437923374,0.3744150000000001,0.6124799911246082,1.351818,1.2133802842011236
4.2,0.533991,0.3300063521934085,-0.6016800000000001,0.6713750392277033,0.36493200000000003,0.6197001148362005,1.618977,1.6186365896414179
4.4,0.532683,0.32124217706583924,-0.59187,0.6783558056521666,0.37506900000000004,0.5767391989469763,1.68405,1.7243521434538829
4.6000000000000005,0.5189490000000001,0.34485743091602367,-0.602661,0.6752322758888234,0.362316,0.5756736323351974,1.73637,1.7561045376053217
4.800000000000001,0.5480520000000001,0.3420576306179998,-0.628821,0.6724152133808395,0.346293,0.5793256995490533,1.7713590000000001,1.753081553940375
5.0,0.5742120000000001,0.34034935390859794,-0.6360150000000001,0.698353651490418,0.33681000000000005,0.5468840131728117,1.78215,1.7866130316232445
5.2,0.5653830000000001,0.33488408301679556,-0.602661,0.6810120245149861,0.33419399999999994,0.5536307973424166,1.802097,1.8025105532556531
5.4,0.561459,0.3461065999746321,-0.6075659999999999,0.6821110267573748,0.342369,0.5551090590847894,1.8063479999999998,1.7948440508629153
5.6000000000000005,0.539877,0.35604068738558514,-0.5974290000000001,0.6681428650281316,0.35021700000000006,0.5390687981454687,1.8164850000000001,1.8083766405442203
5.800000000000001,0.570288,0.3586994748560416,-0.6016800000000001,0.662251941455818,0.325038,0.5408922014579245,1.7628569999999997,1.8211383628686757
6.0,0.567999,0.3417711642839401,-0.611163,0.6830296597776703,0.33746400000000004,0.51890603697394,1.8076560000000004,1.7964724083403008
6.2,0.583368,0.3568506517774628,-0.586311,0.6760835514816198,0.34171500000000005,0.5355998473468789,1.8243330000000002,1.795440720966304
6.4,0.5921970000000001,0.3205307309697465,-0.610182,0.6651937169291363,0.327327,0.5385540098096012,1.7913059999999998,1.834219399460708
6.6000000000000005,0.7521000000000001,0.4217283389126228,-0.5954670000000001,0.6679238956228472,0.36329700000000004,0.5562453586035574,1.822044,1.8205073557945326
6.800000000000001,0.7285559999999999,0.4266484176532242,-0.620319,0.6439911134604266,0.367875,0.5387021065022858,1.838394,1.8051338323437407
7.0,0.7256130000000001,0.4041667087032281,-0.610182,0.6627045282733475,0.324384,0.5421498272618004,1.8004620000000002,1.8184826632899198
7.2,0.6425550000000001,0.3645740583283457,-0.610182,0.6796005684915221,0.34269600000000006,0.4962491926099225,1.789671,1.8294415306863454
7.4,0.6729660000000001,0.3890016519425079,-0.6010260000000001,0.6584867454155778,0.350544,0.522400896624422,1.768089,1.8194942333379354
