time(sec),Raw circumference (mm),Filtered circumference (mm),Raw Area (mm^2)
0.0,89.41669664696043,89.98221832724285,644.5268273695126
0.016666666666666666,90.25892549272112,89.98219942978695,644.863678299876
0.03333333333333333,90.21563481045162,89.98218368587497,644.2086903797245
0.05,90.09782936928536,89.98217958813578,645.7151625960728
0.06666666666666667,89.95480897814728,89.98218137798915,645.6028789526183
0.08333333333333333,90.36621336408582,89.98218909562918,645.9210159424059
0.1,90.31166700918926,89.98221103542888,646.1923680807544
0.11666666666666667,89.92170821136392,89.98224587819763,646.5198620408302
0.13333333333333333,89.84922984393286,89.98228136835603,647.3152045152996
0.15,89.92279939220967,89.98231133176562,648.5503245932994
0.16666666666666666,89.78796595587777,89.98233501965707,649.1398137214355
0.18333333333333332,89.63007688848494,89.98234776470547,649.1585276620115
0.2,91.0332619410044,89.98236240955958,648.8684615830872
0.21666666666666667,89.55605953075654,89.98239458715858,647.2216348124209
0.23333333333333334,90.49890230520643,89.9824359844334,648.5503245932994
0.25,90.61855617528413,89.98249356226654,648.653251266466
0.26666666666666666,90.43137608083264,89.98258044778702,647.8579087919965
0.2833333333333333,90.5081823325516,89.98269395658546,649.336310097481
0.3,91.43020979519909,89.98284568166476,651.2170611253442
0.31666666666666665,90.99021752131785,89.98305501155417,650.6837138189351
0.3333333333333333,91.08351770732374,89.98332314974022,650.2532931856928
0.35,89.8744728920724,89.98362993095044,648.5971094447386
0.36666666666666664,89.65320945927611,89.98394091404681,649.4860216220869
0.3833333333333333,89.88612454827931,89.98423707972269,648.6719652070417
0.4,89.74666540012804,89.98451996964967,648.5222536824358
0.4166666666666667,90.02280636459956,89.98479278124968,648.7842488504963
0.43333333333333335,90.24682302644577,89.98506411478981,648.2509015440874
0.45,89.96193940597097,89.98533984181962,647.6707693862389
0.4666666666666667,89.56777586330304,89.98561001385686,647.3245614855877
0.48333333333333334,89.98932916716903,89.98586596480564,648.1386179006328
0.5,88.75613326739352,89.98609734666063,648.1573318412084
0.5166666666666666,90.59482158942686,89.98630164538615,646.9970675255119
0.5333333333333333,90.27830533550801,89.98650756411354,647.7456251485419
0.55,90.3394241502608,89.98673200467958,648.110546989769
0.5666666666666667,90.03348383140303,89.98696807899292,648.1386179006328
0.5833333333333334,91.05645785090373,89.98722196523669,647.0438523769512
0.6,91.0657057683869,89.98751684371253,647.5304148319208
0.6166666666666667,89.5415279998988,89.98784582484512,647.3339184558754
0.6333333333333333,89.68862526720102,89.988169889657,647.3807033073148
0.65,89.0964431247372,89.98846471956878,646.8941408523451
0.6666666666666666,89.50960071892484,89.9887222595409,646.6415026545726
0.6833333333333333,89.52013976596776,89.98894615025422,645.3595977251334
0.7,89.61021184268957,89.98914373377546,646.229795961906
0.7166666666666667,90.53523798158493,89.98933018152371,645.8929450315424
0.7333333333333333,89.3660446687534,89.98951590132837,646.5385759814059
0.75,88.80970112765374,89.9896745670598,644.4706855477851
0.7666666666666666,88.7130336461413,89.98977466163015,643.3946339646794
0.7833333333333333,89.1323396836684,89.9898123685478,643.2823503212248
0.8,88.96968493546409,89.98979607101333,644.0683358254064
0.8166666666666667,89.66138622176958,89.98973682715432,642.7302890742402
0.8333333333333334,89.67539119329075,89.98965158465352,643.0203551531644
0.85,89.51387442903219,89.98954807607281,642.3560102627251
0.8666666666666667,89.57002250994933,89.98942311575708,643.0952109154673
0.8833333333333333,89.45359544453967,89.98927471785734,643.4694897269825
0.9,89.86317015542215,89.98910624414835,643.1513527371944
0.9166666666666666,90.352463069921,89.98893384112736,641.5980956694071
0.9333333333333333,89.82435166428093,89.988769052486,642.4682939061795
0.95,89.36405191669387,89.98859808030328,641.7852350751647
0.9666666666666667,89.87571413637676,89.98840847449424,641.1676750361646
