Time (s),Force (g),Ambient temperature (c)
6.20,-0.0092,9.1250
6.40,-0.0114,9.1250
6.60,-0.0132,9.1250
6.80,-0.0096,9.1250
7.00,-0.0128,9.0859
7.20,-0.0130,9.1562
7.40,-0.0105,9.1328
7.60,-0.0123,9.1016
7.80,-0.0136,9.1016
8.01,-0.0116,9.1719
8.21,-0.0141,9.1562
8.41,-0.0169,9.0469
8.61,-0.0176,9.0703
8.81,-0.0163,9.1562
9.01,-0.0215,9.1484
9.21,-0.0218,9.1328
9.41,-0.0194,9.0859
9.61,-0.0247,9.0391
9.81,-0.0243,9.0234
10.02,-0.0263,9.0156
10.22,-0.0269,9.2109
10.42,0.0204,9.1328
10.62,1.6695,9.1953
10.82,2.7895,9.1484
11.02,3.7471,9.1562
11.22,4.6372,9.0625
11.42,5.8901,9.1016
11.62,6.6508,9.1250
11.82,7.3629,9.1250
12.03,8.3714,9.0625
12.23,7.7689,9.1484
12.43,7.0624,9.1719
12.63,7.8031,9.1875
12.83,8.7860,9.1094
13.03,9.3697,9.1016
13.23,9.8897,9.1016
13.43,10.3704,9.1250
13.64,11.0726,9.1953
13.84,10.9551,9.1328
14.04,11.5173,9.1953
14.24,12.0841,9.2187
14.44,12.9167,9.1562
14.64,13.5044,9.1328
14.84,14.0287,9.1328
15.04,14.1964,9.0625
15.24,15.1889,9.1250
15.45,15.8424,9.2187
15.65,16.5017,9.1719
15.85,17.5093,9.1484
16.05,18.2074,9.1328
16.25,18.9330,9.1016
16.45,19.6605,9.1953
16.65,20.7231,9.1094
16.85,21.4401,9.1250
17.05,22.1444,9.1719
17.26,22.9130,9.0703
17.46,24.1205,9.1250
17.66,24.7591,9.1016
17.86,25.3782,9.1719
18.06,26.0359,9.1016
18.26,27.0192,9.1016
18.46,27.6169,9.2109
18.66,27.6641,9.1250
18.86,27.1859,9.1562
19.07,27.6195,9.1250
19.27,28.0806,9.1953
19.47,28.5525,9.1719
19.67,29.1530,9.2187
19.87,29.5010,9.2344
20.07,29.8322,9.1953
20.27,30.1135,9.1328
20.47,30.4990,9.1875
20.67,30.6531,9.1719
20.88,29.0983,9.1719
21.08,27.4994,9.2344
21.28,25.5655,9.1016
21.48,24.3402,9.2187
21.68,23.2251,9.1094
21.88,21.6427,9.1719
22.08,20.7095,9.1562
22.28,19.7758,9.1328
22.49,18.8502,9.2187
22.69,17.5443,9.1953
22.89,16.5979,9.1719
23.09,15.6295,9.1328
23.29,14.7740,9.2109
23.49,13.6492,9.1953
23.69,12.9552,9.1250
23.89,12.2771,9.1875
24.09,11.6003,9.2422
24.30,10.3849,9.1562
24.50,9.5999,9.1250
24.70,8.9234,9.2109
24.90,8.2466,9.2344
25.10,7.3444,9.1953
25.30,6.8000,9.2344
25.50,6.3308,9.1484
25.70,5.6605,9.1094
25.90,5.2468,9.1719
26.11,4.8295,9.1875
26.31,4.4459,9.2109
26.51,3.9129,9.1094
26.71,3.5576,9.3047
26.91,3.2252,9.1094
27.11,2.9179,9.2109
27.31,2.4782,9.1484
27.51,2.1862,9.2344
27.71,1.9191,9.2109
27.92,1.6672,9.1562
28.12,1.2789,9.1953
28.32,1.0338,9.1328
28.52,0.7787,9.1484
28.72,0.4299,9.2187
28.92,0.2307,9.1875
29.12,0.0403,9.1328
29.32,-0.1412,9.2344
29.53,-0.4535,9.1719
29.73,-0.6076,9.1562
29.93,-0.7713,9.2187
30.13,-0.8299,9.1328
30.33,0.2607,9.1484
30.53,0.0210,9.2109
30.73,-0.1651,9.1484
30.93,-0.3443,9.1562
31.13,-0.5893,9.1875
31.34,-0.7273,9.1719
31.54,-0.8557,9.1953
31.74,-0.9925,9.2734
31.94,-1.1740,9.2344
32.14,-1.2921,9.1719
32.34,-1.3956,9.2344
32.54,-1.5488,9.1719
32.74,-1.6308,9.2187
32.95,-1.7252,9.2969
33.15,-1.8134,9.1953
33.35,-1.9369,9.2578
33.55,-2.0346,9.1094
33.75,-2.1521,9.1328
33.95,-2.2510,9.1562
34.15,-2.3666,9.2344
34.35,-2.4369,9.3047
34.55,-2.4971,9.2109
34.76,-2.5597,9.1875
34.96,-2.6607,9.1719
35.16,-2.7372,9.2578
35.36,-2.8129,9.1953
35.56,-2.9145,9.1875
35.76,-2.9734,9.2578
35.96,-3.0237,9.2344
36.16,-3.0711,9.2109
36.36,-3.1341,9.2578
36.57,-3.1788,9.2812
36.77,-3.2348,9.1719
36.97,-3.2896,9.1484
