Time (s),Force (g),Ambient temperature (c)
6.19,0.0408,8.5859
6.39,0.0431,8.4844
6.59,0.0482,8.6016
6.79,0.0532,8.5703
7.00,0.0554,8.5703
7.20,0.0594,8.5234
7.40,0.0584,8.6016
7.60,0.0667,8.5703
7.80,0.0705,8.6094
8.00,0.0709,8.5625
8.20,0.0731,8.5625
8.40,0.0753,8.6016
8.60,0.0763,8.6016
8.80,0.0792,8.6016
9.01,0.0814,8.5859
9.21,0.0846,8.6094
9.41,0.0884,8.5625
9.61,0.0878,8.6250
9.81,0.0974,8.5156
10.01,0.0928,8.5859
10.21,0.0905,8.6016
10.41,0.0892,8.5625
10.61,0.1012,8.6328
10.81,0.6197,8.5234
11.02,1.7519,8.5391
11.22,2.6832,8.6484
11.42,3.9421,8.5000
11.62,4.7491,8.5000
11.82,5.5589,8.6016
12.02,6.7664,8.5625
12.22,7.5094,8.5703
12.42,8.0443,8.6016
12.62,8.6679,8.5859
12.82,9.6038,8.6328
13.02,10.1501,8.6328
13.23,10.6729,8.5859
13.43,11.1677,8.5234
13.63,11.8538,8.5625
13.83,12.2747,8.6250
14.03,12.6916,8.5859
14.23,13.0734,8.6094
14.43,12.2466,8.6484
14.64,12.8056,8.5391
14.84,13.3241,8.6250
15.04,13.8044,8.5000
15.24,14.4911,8.6094
15.44,14.9444,8.5859
15.64,15.3978,8.5859
15.84,16.1272,8.5391
16.04,16.2380,8.6094
16.24,16.6600,8.6094
16.44,17.2173,8.6328
16.65,18.0625,8.5859
16.85,18.6380,8.6250
17.05,19.2187,8.5625
17.25,19.8187,8.6562
17.45,20.6504,8.5625
17.65,21.2206,8.6094
17.85,21.3652,8.6016
18.05,21.7862,8.6562
18.25,22.7348,8.6250
18.46,23.2785,8.6328
18.66,23.7429,8.6094
18.86,24.3264,8.5156
19.06,24.5829,8.6328
19.26,24.8797,8.6016
19.46,25.1771,8.6562
19.66,25.6317,8.6328
19.86,25.8746,8.5625
20.06,26.1310,8.6328
20.27,26.4103,8.6016
20.47,26.7485,8.6562
20.67,26.9400,8.6328
20.87,25.6563,8.6094
21.07,24.0774,8.6562
21.27,22.3262,8.6250
21.47,21.3298,8.6328
21.67,20.4085,8.5859
21.88,19.1230,8.6250
22.08,18.3087,8.6250
22.28,17.4921,8.6328
22.48,16.7051,8.5859
22.68,15.6179,8.6562
22.88,14.9171,8.6328
23.08,14.1806,8.6484
23.28,13.4619,8.6094
23.48,12.4813,8.6328
23.69,11.8203,8.6875
23.89,11.2090,8.6250
24.09,10.6142,8.6719
24.29,9.7690,8.6875
24.49,9.2187,8.6562
24.69,8.6876,8.6328
24.89,7.7903,8.6328
25.09,7.2931,8.6328
25.29,6.8456,8.6953
25.50,6.4292,8.6094
25.70,5.8820,8.6484
25.90,5.5263,8.6016
26.10,5.1561,8.6016
26.30,4.8026,8.6953
26.50,4.3047,8.6094
26.70,4.0104,8.6094
26.90,3.7334,8.6328
27.10,3.4507,8.6719
27.31,3.0883,8.6719
27.51,2.8482,8.6484
27.71,2.6168,8.6094
27.91,2.3772,8.6328
28.11,2.0477,8.6562
28.31,1.8274,8.6328
28.51,1.6207,8.6484
28.71,1.3527,8.6719
28.92,1.1494,8.6094
29.12,0.9568,8.5859
29.32,0.8207,8.6562
29.52,0.6282,8.6953
29.72,0.5133,8.7187
29.92,0.3989,8.6250
30.12,0.2941,8.6875
30.32,0.1461,8.6328
30.52,0.0772,8.6016
30.73,0.9944,8.5859
30.93,0.8988,8.5703
31.13,0.6861,8.6562
31.33,0.5668,8.6953
31.53,0.4492,8.6562
31.73,0.2839,8.7109
31.93,0.1986,8.6562
32.13,0.1131,8.7187
32.34,0.0326,8.6562
32.54,-0.1018,8.6328
32.74,-0.1825,8.6094
32.94,-0.2519,8.6953
33.14,-0.3158,8.6875
33.34,-0.4224,8.6094
33.54,-0.4870,8.6016
33.74,-0.5471,8.5469
33.94,-0.6120,8.5703
34.15,-0.6949,8.6328
34.35,-0.7484,8.6328
34.55,-0.8004,8.6484
34.75,-0.8625,8.6016
34.95,-0.7446,8.6094
35.15,-0.5430,8.6953
35.35,-0.6124,8.6094
35.55,-0.7027,8.6484
35.76,-0.7599,8.5859
