Linear displacement (mm),Time (s)
0.0000,5.00
0.0000,5.20
0.0000,5.40
0.0000,5.60
0.0000,5.80
0.0000,6.01
0.0000,6.21
0.0000,6.41
0.0000,6.61
0.0000,6.81
0.0000,7.01
0.0000,7.21
0.0000,7.41
0.0000,7.61
0.0000,7.81
0.0000,8.02
0.0000,8.22
0.0000,8.42
0.0000,8.62
0.0000,8.82
0.0000,9.02
0.0000,9.22
0.0000,9.42
0.0000,9.62
0.0000,9.82
0.0000,10.03
0.0000,10.23
0.0000,10.43
0.0000,10.63
0.0000,10.83
0.0000,11.03
0.0000,11.23
0.0000,11.44
0.0000,11.64
0.0000,11.84
0.0000,12.04
0.0000,12.24
0.0000,12.44
0.0000,12.64
0.0000,12.84
0.0000,13.04
0.0000,13.25
0.0000,13.45
0.0000,13.65
0.0000,13.85
0.0000,14.05
0.0000,14.25
0.0000,14.45
0.0000,14.65
0.0000,14.85
0.0000,15.06
0.0000,15.26
0.0178,15.46
0.0445,15.66
0.0534,15.86
0.0623,16.06
0.0712,16.26
0.0801,16.46
0.0890,16.66
0.0890,16.86
0.0890,17.07
0.0890,17.27
0.0890,17.47
0.0890,17.67
0.0979,17.87
0.0979,18.07
0.1068,18.27
0.1157,18.47
0.1335,18.68
0.1690,18.88
4.0571,19.08
4.2083,19.28
4.3952,19.48
4.5909,19.68
4.8222,19.88
5.2137,20.08
5.6763,20.28
5.7119,20.49
5.7653,20.69
5.8009,20.89
5.8276,21.09
5.8454,21.29
5.8632,21.49
5.8810,21.69
5.8988,21.89
5.9255,22.09
6.2102,22.30
7.4024,22.50
7.5358,22.70
7.6070,22.90
7.6693,23.10
7.7316,23.30
7.8027,23.50
8.6747,23.70
8.6925,23.90
8.7191,24.11
8.7369,24.31
8.7547,24.51
8.7636,24.71
8.7814,24.91
11.0591,25.11
11.3794,25.31
11.3794,25.51
11.3883,25.72
11.3883,25.92
11.3972,26.12
11.3972,26.32
11.4061,26.52
11.4061,26.72
11.4150,26.92
11.4150,27.12
11.4239,27.32
11.4239,27.53
11.4239,27.73
11.4239,27.93
11.4328,28.13
11.4328,28.33
11.4328,28.53
11.4328,28.73
11.4328,28.93
11.4328,29.13
11.4417,29.34
11.4417,29.54
11.4417,29.74
11.4417,29.94
11.4417,30.14
11.4328,30.34
11.4239,30.54
11.4150,30.74
11.3794,30.94
11.3527,31.15
11.3438,31.35
11.3260,31.55
11.3171,31.75
11.2904,31.95
11.2459,32.15
9.2530,32.35
9.0839,32.56
8.9416,32.76
8.9238,32.96
8.9060,33.16
7.8828,33.36
7.6248,33.56
7.3579,33.76
7.2511,33.96
6.8775,34.16
6.7262,34.37
6.6728,34.57
6.6194,34.77
6.5927,34.97
6.5572,35.17
6.5127,35.37
6.4860,35.57
4.9735,35.77
4.8044,35.97
4.8044,36.18
4.7955,36.38
4.7599,36.58
3.3987,36.78
3.9859,36.98
4.0037,37.18
0.7474,37.38
3.4254,37.58
3.4076,37.78
3.3987,37.99
3.3987,38.19
3.3898,38.39
3.3898,38.59
3.3809,38.79
2.5357,38.99
2.6958,39.19
2.6958,39.39
2.6958,39.60
2.6869,39.80
2.6869,40.00
2.6780,40.20
2.6780,40.40
2.6691,40.60
2.6602,40.80
2.6602,41.00
2.6513,41.20
2.6513,41.40
2.6424,41.61
